ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),OUT
0.642,11.217,1.252,0.351,9.781,0.612,0.276,1.448,0.669,0.35,-0.119,-0.033,26,25.6,-24.9,-25.6,285.5,-85.3,-26.3,3,0
1.01,11.263,2.006,0.327,9.784,0.588,0.602,1.81,0.866,-0.139,0.078,0.035,26,25,-25,-25.8,279.5,-86.4,-33,3,0
1.59,10.338,-0.175,0.307,9.784,0.588,1.287,0.693,-0.667,-0.31,-0.551,0.109,27,25.6,-25.2,-25.1,284.1,-86.3,-27.3,3,0
0.146,8.322,2.389,0.488,9.753,0.905,0.041,-1.236,1.511,0.077,0.147,-0.167,27,24.4,-24,-27.7,284.4,-84.6,-30.5,3,0
0.527,7.767,-0.419,0.433,9.749,0.965,0.015,-1.975,-1.242,-0.016,-0.509,-0.052,27,24,-24.5,-27.7,291.2,-83.8,-24.2,3,0
0.771,8.193,-0.204,0.387,9.754,0.941,0.51,-1.505,-1.295,-0.2,-0.029,-0.065,27,23.8,-23.2,-28.2,293.3,-84.1,-22.6,3,0
0.529,11.643,-0.187,0.24,9.757,0.953,0.227,2.027,-1.088,-0.33,-0.214,-0.177,28,24.3,-22.7,-28.1,298.4,-84.4,-16.7,3,0
0.46,12.757,0.951,0.097,9.739,1.147,0.391,3.044,-0.235,-0.291,-0.121,-0.119,28,24.4,-22,-28.7,309,-83.6,-8.3,3,0
-1.944,10.453,3.864,-0.158,9.719,1.297,-1.626,0.99,2.889,0.769,0.864,-0.335,27,24.2,-20.8,-28.6,319.7,-82,2.3,3,0
0.86,7.966,-0.393,-0.154,9.745,1.087,0.101,-0.977,-1.305,-0.71,-0.492,0.561,27,26.3,-21.3,-27.3,323,-83.8,11.4,3,0
