ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),OUT
0.045,9.649,3.192,0.202,9.345,2.967,-0.254,0.278,0.21,0.185,-0.453,-0.187,42,4,-32.8,18.2,185.7,-72,-4,3,0.19
-0.18,9.541,3.419,0.228,9.364,2.903,-0.386,-0.206,1.43,-0.088,-0.431,-0.028,41,5.5,-32.4,18.7,187.6,-72.9,-4.3,3,0.19
0.491,9.412,2.509,0.273,9.402,2.775,0.18,-0.033,-0.158,-0.047,-0.225,-0.053,41,6.7,-31.4,18.2,191.1,-73.5,-5.6,3,0.19
1.901,8.502,2.878,0.317,9.38,2.842,0.829,-0.929,0.373,-0.008,-0.404,-0.01,40,7.9,-31.9,18.5,190.7,-73.1,-5.9,3,0.19
0.227,9.579,3.508,0.307,9.319,3.038,-0.721,0.337,0.829,-0.148,0.048,-0.221,40,8.6,-32.3,17.1,194.6,-72.2,-6.6,3,0.19
-0.139,9.505,3.129,0.259,9.305,3.086,-0.398,0.2,0.044,0.169,-0.002,-0.138,42,8.5,-32,17.5,195.1,-71.5,-5.6,3,0.19
-0.239,9.414,2.892,0.136,9.335,3.002,-0.366,0.075,-0.076,-0.116,0.042,-0.024,42,9.4,-31.3,18.4,196.3,-72.1,-3.4,3,0.19
0.232,8.823,3.141,0.114,9.323,3.038,0.119,-0.501,0.103,-0.125,0.147,0.132,40,9.5,-31.9,16.1,199.8,-72.1,-2.2,3,0.19
0.52,9.783,3.182,0.072,9.314,3.068,0.764,1.276,-0.339,0.155,0.39,-0.062,40,8.5,-32.9,17.4,195.3,-71.6,-2.2,3,0.19
-1.235,8.964,5.299,0.088,9.218,3.345,-1.35,-0.323,2.161,-0.111,0.249,0.064,38,6.9,-32.2,16.6,195.6,-71.8,-1.3,3,0.19
0.625,9.378,2.765,0.041,9.254,3.245,0.662,-0.055,-1.044,-0.081,0.277,0.169,35,5.9,-32.4,17.5,192.4,-70.6,-0.5,3,0.19
0.702,8.722,3.824,0.365,9.164,3.473,1.009,-1.059,-0.176,-0.361,-0.149,0.53,35,5.5,-32.9,14.6,192.3,-70.5,-1,3,0.19
-0.091,8.909,3.642,0.227,9.345,2.965,-0.306,-0.476,0.215,-0.219,0.109,0.054,54,-4.1,-9.8,-41.2,1.4,-72.3,-4.4,3,0.19
-0.232,9.517,3.146,0.13,9.298,3.113,-0.391,0.145,0.303,0.047,-0.046,-0.096,65,-4.6,-9.7,-41.9,2.4,-71.5,-3.2,3,0.19
0.247,9.05,3.362,0.133,9.276,3.179,0.07,-0.195,0.252,-0.039,-0.168,0.106,65,-4.7,-9.5,-43,4.8,-71.1,-2.4,3,0.19
0.134,9.381,3.144,0.24,9.268,3.197,-0.056,-0.1,-0.122,0.006,-0.366,-0.073,103,-6.3,-8.6,-42.5,3.4,-70.9,-3.7,3,0.19
0.232,9.472,3.644,0.258,9.299,3.104,-0.041,0.24,0.3,0.114,-0.364,-0.076,103,-7.4,-9.5,-43.1,5.1,-71.5,-4.7,3,0.19
0.215,9.146,3.9,0.354,9.312,3.055,0.242,-0.151,0.086,-0.017,-0.709,-0.229,139,-9.4,-9.4,-42.5,4.9,-71.7,-6.2,3,0.19
1.346,8.572,3.381,0.36,9.331,2.994,0.543,-0.051,-0.047,-0.08,-0.756,-0.152,139,-11.6,-10.1,-42.9,9.9,-72.1,-6.8,3,0.19
0.551,8.911,3.795,0.371,9.258,3.211,0.249,-0.256,0.768,-0.081,-0.497,-0.301,67,-14,-9.7,-42,10.9,-71.4,-7.3,3,0.19
0.175,9.539,3.51,0.298,9.259,3.216,-0.156,0.418,0.217,-0.119,-0.317,-0.07,67,-15.7,-9.5,-41.5,17.6,-70.8,-5.3,3,0.19
0.371,9.151,2.998,0.295,9.245,3.257,-0.019,-0.207,-0.006,0.072,-0.088,-0.044,83,-17.6,-9.7,-43.3,18.3,-70.4,-5.4,3,0.19
-0.385,10.614,3.242,0.128,9.279,3.171,-0.852,1.656,-1.694,0.863,-0.097,-0.549,73,-17.2,-9.6,-42.4,20.2,-70.3,-4.4,3,0.19
-0.266,9.235,2.1,0.235,9.331,3.007,0.163,-0.48,0.194,0.275,0.205,0.15,73,-17.5,-11.6,-43.2,24.1,-72,-1.6,3,0.19
0.79,8.897,1.537,0.21,9.349,2.954,0.58,-0.452,-1.417,-0.331,0.232,-0.031,56,-15.5,-12.7,-43.3,17.4,-72.4,-4.1,3,0.19
-1.403,8.595,3.572,-0.015,9.435,2.674,-1.642,-0.342,0.489,0.496,1.979,0.363,56,-12.4,-12.2,-43.1,19.4,-73.4,-0.9,3,0.19
1.128,9.788,1.389,0.434,9.61,1.908,0.751,0.075,-0.519,0.11,0.145,0.076,50,3.4,-31.3,18.2,178,-78.3,-12.1,3,0.19
0.872,10.125,1.305,0.447,9.642,1.733,0.355,0.553,-0.349,0.081,0.058,-0.02,50,2,-30.8,21.1,172.8,-79.5,-14.5,3,0.19
0.33,10.152,1.525,0.47,9.666,1.584,-0.116,0.935,-0.088,0.033,0.075,0.002,48,1.6,-29.8,21.2,170.7,-80,-16.6,3,0.19
0.029,10.657,2.579,0.434,9.662,1.624,-0.35,0.967,0.881,0.134,0.016,0.057,46,2.5,-30.7,22.1,170.8,-80.4,-16.8,3,0.19
0.23,9.302,1.726,0.516,9.652,1.658,-0.154,-0.324,-0.022,0.139,0.006,0.115,46,1.9,-29.6,21.8,171.2,-79.8,-15.9,3,0.19
-0.287,9.017,1.695,0.518,9.657,1.624,-0.741,-0.655,0.15,0.055,0.004,0.012,45,1.3,-30.3,22.7,167.8,-79.8,-17.5,3,0.19
-0.148,9.534,2.196,0.261,9.632,1.822,-0.651,0.258,0.414,-0.081,0.13,-0.027,45,1.1,-30.1,22.5,171.4,-79.7,-12.9,3,0.19
0.433,9.718,2.289,0.174,9.602,1.984,0.327,0.16,0.234,-0.003,-0.016,-0.032,41,0.5,-30,23.1,178,-78.3,-5,3,0.19
0.256,9.493,2.102,0.188,9.595,2.017,0.024,-0.139,0.018,0.02,-0.234,-0.016,41,0.6,-29.3,22,176.3,-78.2,-4.8,3,0.19
-0.065,9.505,1.439,0.174,9.61,1.945,-0.251,-0.124,-0.464,0.05,-0.266,0.041,40,1.7,-29.2,22.8,179.9,-78.5,-5.1,3,0.19
0.101,9.747,1.528,0.225,9.631,1.835,-0.064,0.097,-0.402,0.103,-0.269,0.004,40,2.6,-29.2,22.7,181.1,-78.8,-6.1,3,0.19
0.678,10.006,0.735,0.258,9.646,1.75,0.507,0.408,-0.86,0.094,-0.394,-0.083,39,3.5,-29.3,23.2,181.2,-79.6,-8.4,3,0.19
0.73,9.733,1.671,0.293,9.647,1.736,0.406,0.219,0.35,-0.026,-0.536,0.014,38,4.8,-29.1,21.5,181.9,-79.7,-8.1,3,0.19
0.759,7.923,7.111,0.52,9.532,2.245,1.261,-1.947,2.951,-0.597,-0.617,0.137,38,6.1,-29.3,21.4,183.1,-77.5,-12.1,3,0.19
-0.795,9.656,-0.043,0.364,9.561,2.152,-1.214,0.285,-2.155,-0.02,-0.511,-0.466,39,8.7,-29,21.4,184.4,-76.3,-12.7,3,0.19
0.034,10.267,3.038,0.403,9.499,2.403,-0.475,0.389,1.222,-0.153,-0.014,0.337,39,10.5,-29.1,19.9,195,-75.6,-9.5,3,0.19
-0.256,9.575,2.174,0.548,9.429,2.64,-1.154,0.314,-0.852,-0.466,-0.261,0.098,35,10.7,-30.2,18.4,193.6,-74.7,-12,3,0.19
0.881,9.704,2.895,0.639,9.387,2.764,0.223,0.394,0.113,-0.12,-0.453,-0.158,35,9.9,-30.6,18.2,191.6,-73.4,-12.9,3,0.19
0.56,10.104,2.363,0.703,9.397,2.715,-0.273,0.855,-1.606,-0.037,0.058,0.164,32,11.5,-30.8,17,194,-73.1,-13.3,3,0.19
0.17,9.943,0.8,0.483,9.631,1.783,-0.286,0.32,-1.072,-0.082,0.025,-0.025,24,-6.9,-15.7,-39.8,353.8,-79.1,-15.6,3,0.19
0.79,9.805,0.79,0.427,9.664,1.611,0.358,0.148,-0.833,0.082,0.072,-0.029,24,-7.5,-15.4,-39.7,353.3,-79.4,-14.6,3,0.19
1.092,10.037,0.977,0.457,9.697,1.39,0.638,0.326,-0.382,0.205,0.067,-0.088,24,-5.3,-15.4,-39.2,349.8,-81,-16.8,3,0.19
0.35,10.578,1.863,0.448,9.727,1.165,0.151,0.669,0.499,0.297,-0.019,-0.177,25,-6.5,-15.5,-38.8,348.5,-82.3,-21,3,0.19
-0.105,10.353,1.132,0.361,9.749,1,-0.447,0.537,0.103,0.076,-0.024,0.035,24,-6.7,-16.4,-39.3,350.3,-83.7,-19.4,3,0.19
0.134,9.733,2.215,0.32,9.737,1.122,-0.186,-0.095,1.251,0.073,0.178,0.139,24,-6.4,-16.4,-38.9,350.6,-83.7,-19.1,3,0.19
0.06,9.388,2.227,0.293,9.716,1.299,-0.412,-0.194,0.791,0.058,0.131,0.211,26,-5.8,-16.3,-38.6,357.5,-82.1,-11.1,3,0.19
0.158,9.512,2.603,0.344,9.698,1.415,-0.629,0.013,1.702,0.077,0.169,-0.079,26,-6.7,-17,-38.8,352.9,-81.8,-15.4,3,0.19
0.247,9.278,1.365,0.288,9.694,1.452,-0.13,-0.385,-0.212,0.073,-0.063,-0.038,26,-4.7,-16.4,-41.2,354.5,-81.4,-12.1,3,0.19
0.163,9.668,1.348,0.232,9.703,1.406,-0.072,-0.032,-0.087,0.029,-0.123,-0.053,26,-6.4,-16.9,-39.6,355.8,-81.4,-10.7,3,0.19
0.017,9.989,1.875,0.205,9.703,1.408,-0.066,0.2,0.407,0.11,-0.267,-0.08,25,-6.5,-16.1,-38.8,2,-81.7,-8.3,3,0.19
-0.33,9.924,1.58,0.214,9.707,1.377,-0.582,0.217,0.007,0.054,-0.52,0.03,25,-8.2,-16.9,-39.7,2.2,-81.7,-8.1,3,0.19
-0.213,10.348,3.709,0.279,9.679,1.553,-0.492,0.669,2.156,-0.215,-0.517,-0.062,25,-8.2,-17,-40.2,2.7,-81.8,-8.8,3,0.19
0.275,9.465,1.796,0.413,9.662,1.626,-0.016,-0.369,0.113,-0.122,-0.609,0.147,26,-12.4,-15.8,-39.6,4.4,-80.4,-12.6,3,0.19
0.646,9.366,0.426,0.562,9.653,1.633,0.078,-0.254,-1.069,-0.074,-0.324,0.028,26,-14.7,-15.5,-38.5,2.4,-79.8,-17.6,3,0.19
1.427,9.175,1.075,0.631,9.628,1.754,0.791,-0.46,-0.608,-0.31,-0.402,-0.118,28,-16.5,-15,-40,2.1,-79.4,-19.9,3,0.19
1.173,9.678,0.359,0.594,9.62,1.811,0.158,0.218,-0.573,0.215,-0.242,0.13,28,-18,-13.9,-39.7,7.4,-78.4,-16.8,3,0.19
0.486,9.431,1.659,0.095,9.46,2.584,0.379,-0.016,-0.961,0.201,0.022,-0.089,26,4.6,-30.5,18.4,189.4,-74.2,-2.3,3,0.19
0.491,9.522,1.789,0.067,9.49,2.47,0.321,0.065,-0.715,0.03,0.081,-0.026,26,4.5,-31,19.6,189.4,-75,-1.8,3,0.19
0.113,10.092,1.939,0.085,9.572,2.132,0.195,0.404,-0.297,0.118,0.139,-0.103,25,3.9,-31.5,19.1,187.2,-77,-2.3,3,0.19
0.804,10.245,1.415,0.07,9.6,2.001,0.245,1.001,0.047,-0.06,0.125,-0.119,25,4.5,-31.6,19.6,189.6,-77.6,-2.2,3,0.19
-0.56,10.01,3.216,0.03,9.573,2.126,-0.59,0.437,1.089,-0.079,0.05,-0.047,25,4.9,-31.1,20.4,189.7,-77.8,-1.5,3,0.19
-0.101,9.666,2.686,0,9.543,2.26,0.098,0.108,0.31,-0.074,-0.123,0.051,25,4.7,-31.4,19.4,189,-77.2,0.1,3,0.19
-0.575,9.352,2.926,-0.029,9.528,2.319,-0.509,-0.157,0.636,0.254,0.155,0.183,27,4.1,-31.5,20.3,189,-76.3,0.7,3,0.19
-0.898,9.972,3.62,-0.047,9.548,2.236,-0.81,0.46,1.527,0.281,0.232,-0.042,28,3.8,-31.1,20.3,188.2,-76.5,-0.4,3,0.19
0.086,8.583,2.052,-0.015,9.533,2.301,0.023,-0.879,0.052,0.141,-0.048,-0.075,28,3.8,-30.5,20,188.9,-76.5,0.4,3,0.19
-0.17,9.316,2.176,-0.089,9.551,2.225,-0.081,-0.223,-0.008,0.041,-0.17,-0.114,24,3.6,-30.5,21.3,189.2,-76.7,0.9,3,0.19
-0.192,9.314,2.595,-0.096,9.556,2.2,0.003,-0.295,0.308,0.011,-0.382,-0.06,24,5.2,-30.5,20.3,192.8,-77,2.7,3,0.19
-0.342,9.644,2.248,-0.061,9.561,2.178,-0.23,0.024,0.066,0.006,-0.553,-0.114,26,6.4,-30.5,21.2,194,-77.1,2.1,3,0.19
0.158,10.075,1.726,-0.044,9.563,2.171,0.159,0.514,-0.117,-0.199,-0.737,-0.05,26,9.1,-29.8,18.6,201.2,-77.6,1.8,3,0.19
0.28,9.551,2.571,0.011,9.533,2.298,0.139,0.082,0.34,0.072,-0.682,0.056,26,10.3,-30.1,19.4,201.2,-76.4,-0.3,3,0.19
0.594,9.776,1.607,0.24,9.648,1.741,0.431,0.073,-0.245,-0.015,0.099,-0.056,31,-3.8,-15.8,-41.3,358.2,-79.6,-7.2,3,0.19
0.702,10.303,1.125,0.179,9.671,1.613,0.537,0.665,-0.555,-0.005,0.111,-0.083,33,-3.2,-15,-41.9,356.4,-80.1,-7.3,3,0.19
0.381,10.116,2.148,0.15,9.665,1.653,0.271,0.396,0.495,0.1,-0.078,-0.055,33,-3.4,-14.8,-40.8,358.7,-80.4,-5.4,3,0.19
-0.129,9.905,2.306,0.192,9.643,1.774,-0.19,0.262,0.505,0.088,0.05,-0.081,36,-4,-15.3,-40.1,359.8,-80,-5.9,3,0.19
-0.314,9.046,2.289,0.046,9.601,2,-0.86,-0.529,1.252,0.188,-0.006,0.068,38,-3.9,-14.8,-39.9,2,-78.8,-3.9,3,0.19
-0.395,9.386,3.213,-0.072,9.56,2.183,-0.203,-0.311,0.68,-0.123,0.028,0.005,38,-4.4,-15.5,-39.9,7.3,-77.7,0.9,3,0.19
-0.077,9.625,2.033,-0.198,9.485,2.483,0.069,0.056,-0.206,0.022,-0.293,-0.128,41,-3.7,-14.5,-41.6,10.7,-75.3,4.1,3,0.19
0.206,9.828,2.533,-0.198,9.494,2.449,0.332,0.388,-0.269,-0.004,-0.409,-0.072,41,-4.4,-14.5,-43.4,13.4,-75.4,5,3,0.19
0.79,9.398,2.442,-0.103,9.507,2.405,0.914,-0.127,0.053,0.091,-0.845,-0.133,41,-7.4,-14.8,-39.6,15,-75.7,3.3,3,0.19
1.077,9.165,2.66,0.022,9.527,2.323,1.005,-0.453,0.368,0.187,-1.196,-0.241,41,-10.4,-14.6,-39.6,16.1,-75.9,1.6,3,0.19
0.828,9.386,2.737,0.206,9.514,2.368,0.704,-0.098,0.496,-0.225,-1.956,-0.318,42,-14.7,-14.5,-38.1,20.1,-76.3,-3.7,3,0.19
-0.429,10.197,3.524,0.178,9.516,2.363,-0.636,0.617,0.932,-0.059,-2.103,-0.371,42,-20.8,-15.7,-34.6,27.6,-75.8,-4.7,3,0.19
0.259,9.139,3.34,0.36,9.481,2.481,-0.133,-0.373,0.768,0.03,-2.09,-0.351,82,-26.2,-16.8,-29.8,39.2,-75.3,-6.7,3,0.19
0.453,9.165,2.753,0.608,9.496,2.374,-0.02,-0.433,0.277,0.064,-2.043,-0.084,42,-29.8,-17.9,-23.8,44.1,-75.3,-9.5,3,0.19
1.255,9.012,2.986,0.955,9.482,2.313,0.111,-0.373,0.625,-0.1,-1.836,-0.144,42,-31.9,-18.1,-17.1,48.2,-75.4,-20.2,3,0.19
0.977,8.859,3.108,1.182,9.451,2.335,-0.23,-0.528,0.624,-0.471,-1.789,-0.199,37,-33.8,-19.4,-11.3,52,-75.2,-24.2,3,0.19
0.69,9.218,2.327,1.117,9.443,2.398,-0.835,-0.062,-0.162,-0.211,-1.477,-0.426,37,-33.4,-20,-6.9,61.4,-74.4,-25.8,3,0.19
0.045,9.943,2.318,0.922,9.461,2.409,-1.011,0.604,-0.235,-0.118,-1.058,-0.334,39,-32.7,-21.5,-1.9,71.6,-74.2,-23.8,3,0.19
0.01,9.706,1.765,0.81,9.483,2.364,-0.927,0.434,-0.932,0.258,-0.573,-0.286,39,-31.3,-22.9,1.4,84.1,-74.6,-19.7,3,0.19
0.551,9.809,1.901,0.781,9.491,2.341,-0.525,0.639,-0.136,-0.305,-0.621,0.065,94,-29.4,-24.7,2.9,88.9,-75.2,-18.9,3,0.19
0.294,9.63,2.083,0.037,9.41,2.759,0.429,0.176,-0.566,-0.095,0.098,0.068,40,4.3,-32.5,17.2,188.4,-73.3,-0.7,3,0.19
0.544,10.099,2.72,0.099,9.433,2.678,0.444,0.666,0.042,-0.01,0.027,-0.016,40,3.5,-33.6,17,188.1,-73.9,-1.2,3,0.19
0.158,10.288,2.864,0.15,9.459,2.585,0.221,0.988,0.118,0.201,0.007,-0.081,40,5.6,-32,16,191.9,-74.4,-3.2,3,0.19
0.235,10.379,2.761,0.21,9.467,2.55,0.025,0.912,0.21,0.135,-0.022,-0.047,40,4.3,-33.3,16.3,185.8,-74.8,-4.2,3,0.19
-0.462,9.663,3.97,0.108,9.453,2.609,-0.56,0.158,1.205,0.416,0.002,-0.023,40,4.1,-32.8,17.6,187.1,-74.6,-2.4,3,0.19
-0.359,8.358,4.006,0.116,9.471,2.54,-0.629,-1.024,1.521,0.155,-0.127,0.233,40,4.6,-32.6,18.9,189.3,-74.9,-1.6,3,0.19
-0.503,8.852,3.63,0.096,9.471,2.542,-0.611,-0.626,1.171,0.027,0.089,-0.055,40,3.5,-31.6,19.3,188.5,-74.9,-3.6,3,0.19
-0.11,9.141,2.619,-0.018,9.444,2.642,-0.086,-0.303,-0.066,0.03,-0.011,-0.057,36,4,-31.9,18.5,188.6,-74.4,-0.3,3,0.19
0.263,9.366,2.545,-0.065,9.414,2.746,0.277,0.075,-0.243,0.015,-0.139,-0.184,36,4.9,-32.2,18.8,189.2,-74.1,1.1,3,0.19
-0.8,9.364,2.787,-0.123,9.413,2.748,-0.476,0.021,0.106,0.127,-0.342,-0.143,35,5,-32.6,17,192.7,-73.7,2.4,3,0.19
-0.294,9.438,2.1,-0.152,9.43,2.688,-0.221,-0.142,-0.385,0.008,-0.439,-0.099,35,5.6,-31.3,19.6,194.6,-74.1,3.2,3,0.19
0.417,8.931,2.509,-0.032,9.389,2.833,0.535,-0.041,0.83,-0.537,-0.531,0.03,36,6.7,-31.6,18.8,196.1,-73.9,2.3,3,0.19
0.539,9.905,2.31,0.026,9.401,2.792,0.086,0.777,-0.66,0.442,-0.421,-0.099,36,7.6,-31.9,17.2,194.5,-72.8,-0.3,3,0.19
-0.783,9.802,2.95,0.201,9.366,2.899,-0.012,0.175,0.288,0.235,-0.002,-0.321,36,9.2,-31.3,17.1,197,-73.1,-3.7,3,0.19
0.175,8.701,2.911,0.114,9.411,2.755,0.93,-0.835,-0.222,-0.08,-0.733,0.032,34,10.8,-31.5,17.3,202.1,-73.6,-1.2,3,0.19
-0.079,10.056,3.476,0.151,9.374,2.877,-0.228,0.648,0.669,-0.198,-0.121,0.001,34,12.3,-31.6,15.5,204.9,-73.2,-2.9,3,0.19
0.074,9.22,2.876,0.163,9.348,2.96,-0.467,0.172,0.102,-0.061,-0.021,0.148,32,11.6,-32.3,15.5,203.6,-72.7,-3.1,3,0.19
0.52,9.058,2.284,0.126,9.375,2.873,0.324,-0.28,-0.649,0.063,0.318,0.115,32,11,-31,16.3,202.6,-72.9,-2.3,3,0.19
0.077,9.309,3.213,0.162,9.375,2.872,0.053,-0.018,0.245,0.108,0.403,0.222,29,10.6,-31,16.6,202,-72.7,-2.8,3,0.19
-0.16,9.809,3.069,0.218,9.372,2.878,-0.491,0.353,0.283,-0.082,0.548,0.189,29,7.7,-32.3,17,194.4,-73,-4.3,3,0.19
1.044,9.939,2.344,1.046,9.412,2.546,-0.171,0.628,-0.306,0.169,0.078,-0.199,50,-8.1,-10.7,-42.8,347,-72.8,-22.5,3,0.19
0.67,9.922,4.389,0.937,9.432,2.517,-0.069,0.613,1.872,-0.066,0.057,-0.138,52,-8.2,-10.6,-41.8,348,-74.2,-21.5,3,0.19
0.46,9.316,4.54,0.832,9.463,2.435,-0.336,-0.016,1.901,-0.036,0.079,0.114,52,-6.5,-10.1,-42.7,348.9,-74.2,-19.5,3,0.19
0.165,8.926,3.884,0.889,9.423,2.567,-0.706,-0.511,1.364,0.029,0.033,0.223,59,-7,-11.4,-42.1,349.3,-74.3,-19,3,0.19
0.338,8.935,3.699,0.838,9.37,2.769,-0.617,-0.463,0.709,-0.127,0.083,0.03,59,-7.4,-10.1,-41.9,349.9,-73.5,-18.7,3,0.19
0.057,9.697,2.909,0.634,9.264,3.152,-0.466,0.338,-0.222,0.153,-0.031,-0.178,75,-7.3,-10.4,-42.5,357.8,-70.9,-11.4,3,0.19
0.833,9.081,3.584,0.637,9.252,3.188,0.168,-0.175,0.312,0.001,-0.246,-0.02,111,-6.9,-10.7,-42.6,358.1,-70.8,-10.9,3,0.19
0.464,9.45,3.884,0.654,9.254,3.179,-0.206,0.244,0.762,0.174,-0.179,-0.065,111,-8,-10.7,-43.2,358.7,-70.7,-11.6,3,0.19
0.254,8.911,2.224,0.59,9.328,2.967,-0.779,-0.06,-0.168,0.337,-0.219,0.034,126,-9.3,-11.4,-42.9,1,-71.5,-11,3,0.19
0.019,10.183,0.965,0.585,9.372,2.826,-0.425,0.663,-1.988,-0.136,-0.405,-0.271,126,-7.7,-11.9,-46,359.7,-72.5,-11.8,3,0.19
1.027,8.818,3.211,0.617,9.327,2.966,0.126,-0.35,1.195,-0.132,-0.338,0.111,40,-8.3,-12.7,-48.7,358.2,-72.3,-10.8,3,0.19
0.795,8.861,3.359,0.77,9.226,3.235,0.216,-0.721,1.218,0.003,-0.448,-0.029,40,-9.4,-10.3,-48.8,357.8,-71.7,-12.3,3,0.19
0.409,9.927,1.405,0.4,9.547,2.204,0.052,0.375,-0.734,-0.017,0.13,-0.043,47,7.7,-31.9,19.1,189,-76.6,-10.9,3,0.19
0.433,10.358,1.805,0.334,9.582,2.062,0.037,0.839,-0.245,0.124,0.059,0.01,44,7.3,-31.4,19.1,187.7,-76.8,-10,3,0.19
0.369,10.226,1.566,0.332,9.62,1.873,0.156,0.885,-0.199,0.148,0.142,-0.016,44,6.8,-31.4,19.4,188,-78.4,-9.9,3,0.19
0.318,10.137,2.023,0.326,9.625,1.85,-0.01,0.52,0.188,0.028,-0.049,0.016,43,7.4,-30.9,19.2,188.8,-79,-9.9,3,0.19
-0.271,8.952,3.943,0.3,9.557,2.176,-0.561,-0.861,1.609,0.074,0.08,0.202,43,6.5,-30.4,19.4,188.2,-78.1,-9.7,3,0.19
-0.041,8.859,2.732,0.32,9.509,2.378,-0.348,-0.674,0.424,-0.14,0.161,0.22,41,5.7,-30.7,20.7,188.2,-76,-5.8,3,0.19
-0.761,9.685,2.947,0.25,9.485,2.48,-0.887,0.054,0.57,0.144,0.169,-0.145,41,4.8,-30.5,20.5,185.1,-75.3,-7.2,3,0.19
-0.395,9.761,1.571,0.094,9.508,2.399,-0.307,0.232,-0.68,-0.011,0.089,0.104,39,4.2,-30.5,20.5,186.9,-75.5,-4.3,3,0.19
0.505,9.113,2.715,0.117,9.515,2.373,0.388,-0.402,0.343,-0.104,-0.072,0.191,39,4.6,-30.4,20.3,189.6,-76.2,-1.4,3,0.19
0.666,9.378,1.935,0.286,9.506,2.393,0.3,-0.17,-0.363,0.056,-0.068,0.176,39,4.4,-30.4,20,185,-75.8,-4.6,3,0.19
-0.019,9.912,1.561,0.354,9.533,2.272,-0.359,0.363,-0.63,0.361,0.086,-0.063,39,4.3,-30.6,20.8,181.5,-76.4,-8.9,3,0.19
0.833,9.201,2.49,0.24,9.634,1.814,-0.374,0.34,0.719,0.434,0.467,-0.247,39,2.7,-30.4,20.9,178.8,-77.8,-9.3,3,0.19
0.632,10.159,2.021,0.235,9.634,1.818,0.397,0.525,0.203,-0.684,-0.439,0.272,34,4.1,-29.1,22.1,184.3,-80.4,-5.2,3,0.19
0.419,9.165,4.726,0.376,9.533,2.27,-0.232,-0.187,1.963,-0.02,0.023,-0.108,34,2.8,-30.9,20.3,179.1,-77.8,-9.3,3,0.19
1.034,9.917,1.571,0.351,9.491,2.444,0.673,0.489,-0.904,0.273,-0.18,-0.258,34,4,-30.7,20.4,182.3,-75.4,-8.2,3,0.19
0.115,9.307,2.971,0.227,9.564,2.157,-0.433,-0.013,-0.015,0.083,0.179,0.072,34,3.9,-30.8,20.9,186.4,-76.8,-5.7,3,0.19
0.026,9.443,2.998,0.295,9.521,2.332,-0.186,-0.12,0.584,-0.171,0.046,0.136,30,3.7,-30.4,20.1,183.1,-76.1,-7.2,3,0.19
1.379,8.868,3.199,0.466,9.444,2.602,0.89,-0.568,0.574,-0.217,-0.035,0.216,28,3.1,-31.1,20.3,180.2,-75.3,-8.2,3,0.19
0.28,9.5,2.452,0.545,9.443,2.588,-0.294,0.033,0.066,-0.029,0.153,0.184,28,3.2,-31.5,19.2,181,-74.1,-11.1,3,0.19
0.515,9.108,3,0.746,9.426,2.602,0.289,-0.237,0.068,-0.15,0.255,0.144,27,4.1,-31.3,17,179.3,-74.4,-14.3,3,0.19
1.118,9.192,3.017,0.817,9.386,2.72,0.626,-0.267,-0.175,0.175,-0.004,0.184,27,2.5,-31.2,18.1,173.6,-73,-15.7,3,0.19
-0.426,9.357,3.603,0.346,9.495,2.427,-0.984,-0.1,1.347,0.015,0.267,0.096,47,-4.4,-12.4,-41.9,354.3,-76.1,-10.6,3,0.19
0.024,9.11,3.204,0.246,9.445,2.627,-0.218,-0.331,0.564,-0.008,0.241,0.112,47,-4,-11.8,-41.8,359.7,-74.8,-5.7,3,0.19
-0.187,9.512,2.586,0.167,9.434,2.673,-0.338,0.084,-0.172,0.235,0.142,-0.016,51,-3.2,-11.8,-42.2,0.6,-74.1,-3.6,3,0.19
-0.096,9.56,2.504,0.147,9.457,2.592,-0.265,0.201,0.033,0.129,-0.002,0.08,51,-1.6,-12.3,-43.1,359.5,-74.4,-3.2,3,0.19
0.069,9.084,2.188,0.125,9.453,2.607,-0.089,-0.369,-0.415,0.006,0.218,-0.078,56,-2,-12.9,-42.3,358.8,-74.6,-3.8,3,0.19
-0.218,9.132,3.917,0.013,9.398,2.801,-0.458,0.088,0.348,-0.25,-0.372,-0.125,56,-0.4,-12.5,-43.5,359.4,-74.6,-1.9,3,0.19
0.716,8.904,4.769,0.033,9.356,2.938,0.681,-0.416,1.718,-0.599,-0.271,-0.142,66,-1.4,-10.6,-44,1.6,-73.2,0.1,3,0.19
-0.084,9.319,1.896,0.108,9.292,3.132,-0.153,-0.359,-0.755,-0.126,-0.28,0.206,37,-3.1,-10.7,-44.9,2.9,-71.4,0,3,0.19
0.558,9.354,3.809,0.213,9.211,3.36,0.072,0.12,0.316,0.092,-0.03,0.045,37,-4.5,-9.2,-46.4,1.9,-69.8,-3.3,3,0.19
