Row,DOWN
0,-0.018305652
1,0.013487333
2,-0.119614925
3,-0.114947897
4,-0.093977992
5,-0.023203207
6,-0.053382126
7,-0.040910487
8,-0.02126361
9,-0.098137037
10,0.056104062
11,-0.010136258
12,-0.009903628
13,0.049824869
14,0.034942594
15,0.065302161
16,-0.046771992
17,0.083755957
18,0.028748124
19,-0.028690107
20,0.001084436
21,0.089011765
22,0.059128383
23,-0.029793599
24,-0.023653436
25,0.010338881
26,0.102026225
27,-0.041487523
28,0.007197248
29,0.046569905
30,-0.038830857
31,-0.15949082
32,0.046172982
33,-0.035987002
34,-0.016403816
35,-0.011428439
36,-0.052872749
37,-0.03042311
38,0.047914686
39,0.065965147
40,0.04473544
41,0.019175495
42,0.002751529
43,0.041681645
44,0.064828535
45,0.039535646
46,0.002200688
47,-0.005262778
48,-0.048900732
49,0.096702544
50,0.061345707
51,0.057276816
52,-0.015808507
53,0.016015376
54,-0.045161758
55,0.00445678
56,-0.019025393
57,-0.030438283
58,0.000657357
59,0.004288995
60,-0.003612087
61,0.043635174
62,0.009334307
63,-0.115666383
64,0.019308697
65,-0.120108016
66,-0.005350921
67,-0.022749336
68,-0.072754645
69,0.022259627
70,0.100982516
71,-0.011224399
72,0.09401137
73,0.010609378
74,0.025345624
75,-0.03451992
76,-0.115663856
77,-0.021315969
78,-0.042409809
79,0.064366285
80,-0.028119774
81,0.064237716
82,-0.014917715
83,0.01380128
84,-0.123012487
85,0.000838843
86,0.00142035
87,0.109505492
88,-0.066766098
89,-0.001721416
90,-0.004821424
91,0.041149013
92,-0.017821957
93,0.084858651
94,-0.075584443
95,0.026320253
96,0.04535373
97,-0.000335142
98,-0.017340734
99,0.084558183
100,-0.020682338
101,-0.008145212
102,0.007507751
103,0.044619721
104,0.092303472
105,0.059758397
106,0.036759543
107,0.010287551
108,-0.030031548
109,0.030902423
110,-0.022727153
111,0.003854625
112,-0.001219226
113,-0.003215081
114,0.022014659
115,0.052200884
116,0.041059562
117,0.062925081
118,0.035112542
119,-0.049024294
120,0.046765597
121,0.005941594
122,-0.067847848
123,0.002204404
124,-0.048985045
125,-0.044140153
126,-0.004734451
127,-0.160532754
128,-0.066636055
129,0.091750458
130,0.023485633
131,-0.07541963
132,0.058829301
133,-0.070479798
134,0.005376851
135,0.055730612
136,0.004523983
137,-0.005830232
138,-0.056051293
139,0.072939429
140,0.019681986
141,-0.082475544
142,-0.025143048
143,0.080016802
144,-0.104778262
145,-0.023593986
146,0.023754903
147,-0.037413138
148,-0.06017158
149,0.023378489
150,0.032509928
151,-0.033839364
152,0.053805257
153,-0.068520874
154,0.133816926
155,-0.003447783
156,-0.036777341
157,-0.029289092
158,-0.057677101
159,-0.028528793
160,0.000934029
161,0.033288641
162,0.031126982
163,-0.189387316
164,-0.042610957
165,-0.007478382
166,0.008687722
167,0.018826328
168,-7.96E-05
169,0.030900145
170,0.005306681
171,0.003327972
172,0.154784518
173,0.040833653
174,-0.005639039
175,-0.097595704
176,0.086273605
177,0.019231462
178,0.042897319
179,-0.079131274
180,0.032837223
181,0.010854572
182,-0.007578949
183,-0.005038226
184,-0.042790425
185,-0.004545361
186,-0.020583398
187,0.051840252
188,0.000750365
189,-0.031647964
190,-0.012541454
191,-0.002028885
192,-0.01488064
193,-0.059095442
194,-0.057339111
195,0.024844128
196,-0.01407959
197,-0.028583024
198,0.042438222
199,0.025301129
200,-0.052170497
201,0.143954678
202,0.115361776
203,-0.074474649
204,0.003979223
205,0.060838173
206,0.031556396
207,0.004021305
208,0.023457897
209,-0.017190004
210,-0.102296353
211,0.03125362
212,0.021743131
213,0.020882872
214,0.139650947
215,-0.013696571
216,-0.049110687
217,0.08758625
218,0.070434146
219,0.016646644
220,0.052681377
221,-0.028942923
222,-0.047324973
