ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,PRT_X,PRT_Y,PRT_Z,OUT
-0.129,8.085,4.803,-0.581,8.425,4.985,0.564,-0.392,-0.146,0.273,-0.015,0.046,-4.0,-2.1,-40.3,14.8,-59.1,6.7,0.2888445042493467,8.700441423206135,3.559713878069946,4.5
0.22699999999999998,8.22,4.729,-0.491,8.517999999999999,4.835,0.685,-0.255,-0.142,0.11199999999999999,0.061,0.047,-4.0,-2.9,-41.4,14.0,-59.9,6.3,0.6247835007239522,8.824461984447938,3.4237240341850415,4.5
-0.314,8.619,4.681,-0.46,8.552999999999999,4.775,0.166,0.011000000000000001,-0.07200000000000001,0.068,0.07400000000000001,0.055,-4.0,-3.3,-41.2,13.6,-60.6,5.7,0.07675061405923317,9.220795033741465,3.356868524230614,4.5
-0.551,8.849,4.263999999999999,-0.377,8.588,4.72,-0.095,0.20199999999999999,-0.5589999999999999,0.017,-0.086,0.158,-3.1,-3.4,-40.4,11.0,-60.9,5.1,-0.1982620640815963,9.391129200341352,2.9253175035271104,4.5
-1.008,8.49,5.109,-0.257,8.565,4.769,-0.772,-0.121,0.391,0.23,-0.05,0.207,-4.1,-3.0,-41.1,10.3,-60.9,3.1,-0.5797546080627187,9.166052790187456,3.852973636287539,4.5
-0.028999999999999998,8.971,2.8280000000000003,-0.205,8.689,4.542,0.013999999999999999,0.35200000000000004,-1.609,0.025,0.509,0.062,-3.8,-4.4,-40.0,9.5,-62.2,2.2,0.19504007356239256,9.294273252463245,1.433774765523183,4.5
-0.642,8.73,4.6930000000000005,-0.33799999999999997,8.588,4.723,-0.47600000000000003,0.036000000000000004,0.20199999999999999,-0.21899999999999997,-0.12,-0.02,-2.4,-4.7,-41.3,8.2,-61.4,3.9,-0.253404920763401,9.338428227568393,3.37325616944322,4.5
-1.3119999999999998,8.481,5.267,-0.40399999999999997,8.512,4.853,-0.5539999999999999,-0.141,0.23199999999999998,0.036000000000000004,0.4,-0.04,-2.2,-3.1,-40.7,10.2,-60.3,4.3,-0.8617102948541663,9.180818411748712,4.0447524841748,4.5
-0.505,8.684,5.471,-0.506,8.533999999999999,4.805,0.24,-0.128,0.257,0.085,-0.16,-0.133,-1.3,-2.7,-41.0,8.8,-60.5,6.0,-0.04494776737951767,9.403150911393023,4.1445692943629435,4.5
-0.857,8.83,4.1419999999999995,-0.5539999999999999,8.684,4.522,-0.257,0.325,-0.547,0.13699999999999998,0.37799999999999995,0.187,-0.8,-4.3,-40.9,9.7,-61.6,6.6,-0.5277690703618558,9.36240772353762,2.815367547339513,4.5
-0.563,8.662,3.7569999999999997,-0.475,8.731,4.44,-0.361,-0.001,-0.456,0.08900000000000001,0.004,0.251,0.4,-5.0,-41.0,8.2,-62.6,6.8,-0.2704618138509217,9.136824696508503,2.430544562957196,4.5
-0.831,9.077,3.3569999999999998,-0.43,8.846,4.211,-0.4,0.23,-0.8540000000000001,0.282,0.547,0.319,0.7,-6.2,-41.9,5.1,-63.9,5.7,-0.5822531333187924,9.49325809215933,1.9725544566353197,4.5
-0.6779999999999999,8.859,4.159,-0.337,8.832,4.249,-0.34,0.027000000000000003,-0.09,-0.10300000000000001,-0.23,0.027000000000000003,1.7,-6.7,-39.2,1.9,-64.2,4.5,-0.36799154689073604,9.398478254758647,2.78783692425612,4.5
-0.5,9.041,3.7539999999999996,-0.253,8.857000000000001,4.2010000000000005,-0.209,0.059000000000000004,-0.37,0.129,0.155,0.063,1.4,-6.0,-40.3,2.4,-64.5,3.4,-0.22365494493293653,9.515278302884365,2.3434278918424427,4.5
0.302,9.084,3.781,-0.21100000000000002,8.925,4.058,0.536,0.161,-0.297,0.062,0.01,0.013000000000000001,2.2,-6.1,-39.3,358.7,-65.4,3.2,0.5688102173259537,9.55581710780458,2.2954379405365937,4.5
0.20600000000000002,9.115,4.393,-0.22,8.995,3.9010000000000002,0.409,0.094,0.55,0.284,0.067,0.027000000000000003,2.5,-7.2,-40.1,358.8,-66.2,3.2,0.5043905109578821,9.685959255652012,2.8899642749184293,4.5
0.096,9.357000000000001,3.821,-0.29,9.101,3.641,0.36700000000000005,0.301,0.563,0.47700000000000004,0.33299999999999996,-0.069,3.0,-8.3,-39.4,359.7,-67.7,4.1,0.3384576999220688,9.84140889803764,2.279215498146022,4.5
-0.053,9.517000000000001,3.005,-0.49700000000000005,9.216000000000001,3.3139999999999996,0.426,0.29100000000000004,-0.309,0.132,0.473,0.022000000000000002,4.1,-11.0,-39.2,3.1,-69.4,7.0,0.12080164353582833,9.875107841541547,1.4400607906764618,4.5
-0.254,9.146,3.721,-0.509,9.167,3.445,0.203,0.008,0.302,-0.114,-0.252,0.005,5.9,-9.9,-38.6,0.0,-69.3,8.7,-0.029944640655116372,9.62335172445581,2.224832107353147,4.5
-0.022000000000000002,8.931000000000001,3.366,-0.382,9.19,3.4,0.384,-0.298,0.201,0.37200000000000005,0.12,0.171,5.4,-10.1,-39.3,359.6,-69.1,6.9,0.17766406272962817,9.35320548775198,1.8918730360943004,4.5
-0.565,9.852,2.133,-0.342,9.332,2.9939999999999998,-0.242,0.456,-0.852,0.198,0.124,0.191,6.5,-11.3,-38.3,358.5,-71.4,6.2,-0.45281919928770104,10.07180155555359,0.5334662110243906,4.5
0.017,9.838,2.988,-0.17800000000000002,9.327,3.0239999999999996,0.29100000000000004,0.396,-0.07,0.018000000000000002,-0.07200000000000001,0.091,6.4,-12.2,-38.7,355.2,-72.2,4.6,0.1746061141160062,10.19137839862809,1.3490722889786166,4.5
1.111,9.687000000000001,1.7409999999999999,0.063,9.465,2.565,1.048,0.222,-0.825,0.7340000000000001,-0.09,0.14800000000000002,5.9,-13.4,-38.3,348.2,-74.8,-1.4,1.1878014410337452,9.832959296184535,0.07355417225615102,4.5
0.706,10.252,-0.134,0.11,9.637,1.815,0.597,0.616,-1.949,0.601,0.35700000000000004,0.011000000000000001,5.8,-16.2,-36.9,347.9,-77.9,-3.1,0.7014016942725537,10.081160660040783,-1.8703292249541723,4.5
0.457,8.974,1.906,0.10800000000000001,9.673,1.6130000000000002,0.145,-0.502,0.37200000000000005,0.061,0.055999999999999994,0.046,6.9,-17.8,-37.2,344.2,-80.4,-3.6,0.5104698695588444,9.16438153551805,0.35762072608898254,4.5
0.919,8.981,1.755,0.31,9.654,1.6969999999999998,0.664,-0.6920000000000001,-0.076,-0.452,-0.098,0.129,7.3,-18.7,-36.8,341.1,-80.7,-6.1,0.9705693667726494,9.143431786855121,0.19646186248204,4.5
0.924,9.469,2.258,0.38299999999999995,9.586,2.033,0.597,-0.09,0.052000000000000005,-0.27699999999999997,0.9279999999999999,0.079,6.2,-17.7,-36.9,336.9,-78.1,-11.2,1.0035212046145712,9.707106609242713,0.6158956637981494,4.5
0.12,9.896,2.813,0.294,9.564,2.148,-0.018000000000000002,0.142,0.713,0.113,0.34700000000000003,-0.14400000000000002,8.7,-16.7,-36.0,334.6,-77.2,-8.3,0.22534947323411222,10.224753865495492,1.123303612096088,4.5
0.7709999999999999,10.338,1.4409999999999998,0.293,9.562000000000001,2.156,0.509,0.922,-1.11,-0.929,-0.272,0.057999999999999996,10.4,-16.9,-35.8,334.3,-77.9,-7.3,0.8246652567898045,10.42875192148425,-0.32592418502214904,4.5
-0.012,9.769,2.344,0.256,9.485,2.478,-0.35600000000000004,0.561,0.015,0.273,0.64,0.098,10.7,-15.8,-37.7,334.7,-75.1,-6.0,0.08935592636854423,10.021436504576085,0.7004761974347906,4.5
-0.364,9.618,2.739,0.212,9.484,2.485,-1.095,0.392,0.539,-0.09300000000000001,-0.115,0.327,11.8,-15.6,-36.4,333.8,-75.4,-4.3,-0.2449005338694994,9.940024977901631,1.1298089073830624,4.5
0.374,8.639,3.611,0.41700000000000004,9.402000000000001,2.758,-0.040999999999999995,-0.785,0.845,0.015,0.21,0.106,11.0,-14.7,-36.4,331.4,-73.9,-8.1,0.5473194919929857,9.109219080700875,2.129339595621056,4.5
-0.4,9.354,3.1839999999999997,0.327,9.435,2.655,-0.545,-0.128,0.47200000000000003,0.075,0.313,-0.127,11.7,-15.3,-36.8,330.4,-74.0,-8.5,-0.25208160074261543,9.751886903573295,1.6224452799656037,4.5
0.153,9.649,2.0380000000000003,0.342,9.451,2.596,-0.18899999999999997,0.198,-0.5589999999999999,0.07400000000000001,0.047,0.11800000000000001,12.0,-15.7,-35.1,329.2,-74.5,-7.5,0.24515065755374743,9.851194809999187,0.41703233753037305,4.5
0.56,9.773,1.5659999999999998,0.46799999999999997,9.482000000000001,2.458,0.111,0.284,-0.94,0.11699999999999999,0.028999999999999998,0.046,10.6,-15.7,-36.3,327.5,-74.8,-9.5,0.626645884907819,9.893260930528212,-0.09048809541668845,4.5
0.754,9.845,1.5919999999999999,0.484,9.519,2.306,0.311,0.34299999999999997,-0.6559999999999999,0.008,0.006,-0.032,11.9,-16.3,-35.8,325.7,-75.9,-11.7,0.8174458208521362,9.967488445243623,-0.0892268115882342,4.5
1.0390000000000001,9.541,2.3080000000000003,0.48200000000000004,9.538,2.228,0.557,0.003,0.08,-0.006999999999999999,-0.21899999999999997,-0.16699999999999998,12.1,-16.9,-35.5,324.4,-76.5,-12.3,1.1279407154497245,9.784561842252627,0.6535788380636638,4.5
0.838,9.318999999999999,2.552,0.46799999999999997,9.542,2.213,0.327,-0.195,0.426,0.006,-0.126,-0.086,11.7,-16.1,-36.1,327.4,-76.7,-11.9,0.9359193350674299,9.607432398246248,0.9380867291329109,4.5
0.431,9.318999999999999,2.9619999999999997,0.413,9.535,2.253,0.018000000000000002,-0.217,0.7090000000000001,0.114,-0.11900000000000001,-0.12,11.9,-16.0,-35.8,325.5,-76.5,-10.7,0.5471094221495881,9.677723844233837,1.3584176364222231,4.5
0.256,9.721,2.052,0.341,9.56,2.1590000000000003,-0.057999999999999996,0.146,-0.09300000000000001,0.05,-0.04,-0.001,11.8,-16.9,-35.8,328.9,-77.0,-9.0,0.33312277243537775,9.924950193752434,0.39808776672801094,4.5
