sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.4884;8.6361;3.8739;0.5758;8.8763;4.1291;-0.0874;-0.2402;-0.2552;-0.232;0.2663;0.1655;2088.0;-6.06;-35.94;26.46;165.87;-64.84;-7.94;8.0;996.36;64.635;23.031288;72.53713;-6.29;165.5411911965045;;4.22;9.677419;157.77;0 / 8;15;2018-06-12 12:16:09:089
-0.7781;11.4542;2.7414;0.7786;9.1031;3.5633;0.3228;-0.7543;-0.5537;1.0288;1.1967;-0.0257;2286.0;-8.34;-33.48;27.06;158.89;-68.17;-12.33;8.0;996.34;60.7;23.031288;72.53713;-6.29;165.5411911965045;;4.22;9.677419;157.77;0 / 9;516;2018-06-12 12:16:09:590
1.2019;9.5963;-0.1796;1.0086;9.6919;1.1042;0.1934;-0.0957;-1.2838;0.1229;-0.2987;-0.259;1257.0;-16.02;-28.08;32.4;116.92;-81.23;-42.41;8.0;996.34;60.532;23.031288;72.53713;-6.29;165.5411911965045;;4.22;9.677419;157.77;0 / 9;1016;2018-06-12 12:16:10:090
0.8332;9.036;-1.2929;0.537;9.7303;1.0969;-0.6903;0.0575;-1.3148;-0.086;0.3989;-0.135;1628.0;-12.84;-28.92;31.56;135.78;-82.85;-26.08;8.0;996.35;71.579;23.031284;72.53736;154.82;165.5411911965045;;2.92;103.22581;173.95;9 / 9;1516;2018-06-12 12:16:10:590
0.182;11.8732;2.6122;0.1974;9.62;1.8938;-0.0155;2.2532;0.7184;0.0814;-0.248;0.2279;1850.0;-14.76;-32.04;28.86;151.47;-78.8;-5.95;8.0;996.35;70.877;23.031284;72.53736;154.82;167.52329421789003;;2.92;103.22581;173.95;9 / 9;2016;2018-06-12 12:16:11:090
-0.656;11.4111;0.0838;0.151;9.7355;1.1696;-0.1821;0.0475;-1.1887;0.1021;0.138;-0.2388;1574.0;-12.36;-29.4;31.8;154.45;-83.09;-7.36;8.0;996.35;51.986;23.031284;72.53736;154.82;167.52329421789003;;2.92;103.22581;173.95;9 / 9;2515;2018-06-12 12:16:11:589
-0.3256;7.7694;2.344;0.3554;9.74;1.0842;-0.7218;-2.0209;1.2358;0.363;0.3555;0.0415;779.0;-15.96;-28.2;30.06;132.53;-83.02;-23.43;8.0;996.34;44.331;23.031284;72.53736;154.82;167.52329421789003;;2.92;103.22581;173.95;9 / 9;3015;2018-06-12 12:16:12:089
-3.8141;9.3592;2.9378;0.1884;9.7546;0.991;-4.0025;-0.3954;1.9468;0.3379;1.6017;-1.0861;1155.0;-14.94;-27.66;32.58;147.13;-84.1;-10.77;8.0;996.32;45.024;23.031284;72.53736;154.82;167.52329421789003;;2.92;103.22581;173.95;9 / 9;3516;2018-06-12 12:16:12:590
-1.348;10.8987;5.0088;0.2801;9.7493;1.0209;-0.7446;2.5405;2.094;-0.9192;-0.0434;0.2737;896.0;-15.42;-28.74;31.86;142.48;-83.8;-15.34;8.0;996.32;51.588;23.031284;72.53736;154.82;167.52329421789003;;2.92;103.22581;173.95;9 / 9;4016;2018-06-12 12:16:13:090
1.19;12.534;1.0798;0.1487;9.6064;1.966;1.0795;1.6275;1.6542;0.4241;-0.5785;0.0415;1070.0;-16.32;-30.12;29.76;151.92;-78.4;-4.33;8.0;996.35;45.927;23.031284;72.53736;154.82;167.52329421789003;;2.92;103.22581;173.95;8 / 9;4515;2018-06-12 12:16:13:589
0.3639;11.0975;2.3751;0.1596;9.7681;0.8536;0.2235;1.3461;0.9661;0.5817;-0.0287;0.1991;1173.0;-16.14;-28.92;32.04;154.06;-84.04;-1.37;8.0;996.33;45.061;23.031284;72.53736;154.82;167.52329421789003;;2.92;103.22581;173.95;8 / 9;5016;2018-06-12 12:16:14:090
-0.5028;10.1565;0.1772;0.4063;9.7727;0.7071;-0.6194;-0.1956;-0.5203;0.2335;0.1673;0.0672;817.0;-17.28;-27.24;32.82;125.59;-85.23;-29.88;8.0;996.33;52.289;23.031284;72.53736;154.82;167.52329421789003;;2.92;103.22581;173.95;10 / 10;5515;2018-06-12 12:16:14:589
1.2546;6.8811;1.0439;0.8537;9.7428;0.7205;0.4009;-2.8617;0.3234;-0.2638;-0.2725;0.1888;717.0;-16.2;-26.22;33.72;109.14;-83.46;-49.84;8.0;996.35;46.803;23.031284;72.53736;154.82;167.52329421789003;;2.92;103.22581;173.95;10 / 10;6016;2018-06-12 12:16:15:090
-0.0072;8.2028;1.0846;0.8875;9.702;1.1193;-0.8085;-1.3053;-0.899;-0.3407;0.0385;-0.2859;991.0;-18.36;-27.42;31.44;116.86;-81.62;-38.41;8.0;996.33;58.034;23.031284;72.53736;154.82;167.52329421789003;;2.92;103.22581;173.95;10 / 10;6515;2018-06-12 12:16:15:589
0.0479;9.4909;0.6345;0.4982;9.7366;1.0583;1.3477;-0.4373;-0.5531;0.1828;-0.0379;-0.1961;886.0;-15.24;-28.26;33.06;133.96;-83.15;-25.21;8.0;996.34;48.5;23.031284;72.53736;154.82;167.52329421789003;;2.92;103.22581;173.95;10 / 10;7015;2018-06-12 12:16:16:089
-0.0215;10.4845;5.3033;0.2114;9.7089;1.3651;-0.233;0.7757;3.9382;0.1834;0.529;-0.4398;908.0;-14.82;-29.16;32.52;140.41;-84.24;-17.94;8.0;996.33;48.247;23.031284;72.53736;154.82;167.52329421789003;;2.92;103.22581;173.95;10 / 10;7515;2018-06-12 12:16:16:589
