sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.5922;7.4725;1.0128;0.7505;9.2637;3.129;1.5217;-1.4201;-2.2575;0.2384;-0.0507;0.0299;1820.0;-19.44;-8.04;-37.74;16.86;-69.59;-11.8;3.1;996.3;47.779;23.031012;72.53757;28.38;NaN;;3.14;9.677419;62.58;20 / 20;22;2018-06-12 12:17:20:314
1.8604;6.3903;0.7303;1.1841;9.3189;2.8154;1.3825;-3.9318;-3.0069;-0.119;-0.2554;0.0214;2180.0;-19.44;-9.24;-36.36;5.69;-71.85;-22.81;3.1;996.31;47.021;23.031012;72.53757;28.38;NaN;;3.14;9.677419;62.58;21 / 21;522;2018-06-12 12:17:20:814
-0.8212;7.2451;2.7965;0.8904;9.5501;2.0426;-0.6582;-1.0313;0.5719;0.3624;0.292;-0.2944;2412.0;-19.62;-14.22;-34.98;6.92;-76.87;-23.55;3.1;996.27;47.958;23.031012;72.53757;28.38;NaN;;3.14;9.677419;62.58;21 / 21;1023;2018-06-12 12:17:21:315
0.7063;9.941;2.2458;2.0385;9.416;1.831;-1.3729;1.3103;0.9559;0.5786;0.3983;-0.2724;2970.0;-23.76;-11.22;-33.48;346.42;-73.77;-48.07;3.1;996.25;47.786;23.031082;72.537636;27.15;NaN;;3.08;9.677419;50.81;20 / 20;1523;2018-06-12 12:17:21:815
3.0096;9.5603;0.2993;1.4692;9.5773;1.5125;1.5404;-0.0169;-1.2132;0.3905;-1.0953;-0.0434;2868.0;-25.32;-14.88;-31.08;354.1;-77.58;-44.17;3.1;996.26;46.174;23.031082;72.537636;27.15;NaN;;3.08;9.677419;50.81;20 / 20;2023;2018-06-12 12:17:22:315
0.9577;12.9626;2.9928;0.9227;9.6913;1.1821;1.1077;3.4629;-0.4303;-0.2998;0.3243;0.0513;3005.0;-26.16;-17.1;-30.06;3.19;-81.2;-37.97;3.1;996.26;46.111;23.031082;72.537636;27.15;NaN;;3.08;9.677419;50.81;20 / 20;2523;2018-06-12 12:17:22:815
1.0224;13.3912;0.3711;0.6448;9.7494;0.8387;0.3775;3.6418;-0.4676;-0.0097;-0.54;0.1747;2566.0;-25.56;-19.62;-28.92;4.6;-83.81;-37.55;3.1;996.27;46.676;23.031082;72.537636;27.15;NaN;;3.08;9.677419;50.81;20 / 20;3023;2018-06-12 12:17:23:315
1.6425;11.7774;2.2506;0.7574;9.7248;1.0119;0.921;1.1308;0.4463;0.0716;0.4435;-0.2633;2709.0;-27.0;-18.78;-28.56;6.6;-82.59;-36.82;3.1;996.27;46.807;23.031082;72.537636;27.15;NaN;;3.08;9.677419;50.81;21 / 21;3523;2018-06-12 12:17:23:815
0.486;9.7782;-0.6225;0.6726;9.7505;0.8029;0.0409;-0.7792;-1.6313;0.2298;0.1545;-0.4398;2491.0;-25.62;-19.38;-29.4;2.04;-83.87;-39.95;3.1;996.26;47.549;23.031082;72.537636;27.15;NaN;;3.08;9.677419;50.81;21 / 21;4025;2018-06-12 12:17:24:317
1.5659;6.2491;-1.2402;0.364;9.7969;0.2408;1.2019;-3.5479;-1.4811;0.0856;-0.3635;0.3073;3115.0;-25.98;-22.02;-27.0;347.06;-87.45;-56.51;3.1;996.26;50.91;23.031082;72.537636;27.15;NaN;;3.08;9.677419;50.81;20 / 21;4522;2018-06-12 12:17:24:814
