sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.3719;6.8261;2.1836;0.3914;9.0889;3.6617;0.9806;-2.2629;-1.4782;0.0532;-0.1689;-0.1118;3595.0;-0.96;-31.26;20.46;175.83;-67.34;-3.47;3.1;993.71;58.829;23.025976;72.53842;28.66;NaN;;5.02;9.677419;193.28;16 / 19;34;2018-06-11 15:41:02:318
-0.1077;6.6465;3.012;0.3598;9.1885;3.4077;-0.8411;-1.6034;-1.7508;0.1534;-0.3675;-0.0751;3348.0;6.12;-31.08;22.08;186.13;-68.03;-6.46;3.1;993.7;66.755;23.025976;72.53842;28.66;NaN;;5.02;9.677419;193.28;16 / 19;534;2018-06-11 15:41:02:818
1.3192;5.3273;1.2091;0.2598;9.1371;3.5519;0.7314;-3.4148;-2.1416;-0.0488;0.0326;0.19;3265.0;3.12;-32.1;24.18;182.08;-68.71;-4.18;3.1;993.72;60.913;23.025976;72.53842;28.66;NaN;;5.02;9.677419;193.28;17 / 21;1034;2018-06-11 15:41:03:318
-0.68;7.3385;2.9282;0.0412;9.4597;2.5849;-0.7212;-2.1213;0.3433;-0.0323;0.1383;-0.1515;3200.0;6.06;-31.86;28.2;188.88;-74.71;-0.91;3.1;993.71;56.215;23.025976;72.53842;28.66;NaN;;5.02;9.677419;193.28;17 / 21;1533;2018-06-11 15:41:03:817
-0.1939;7.6042;2.4948;0.3192;9.5178;2.341;-0.8938;-0.5081;-0.7512;0.0569;0.1615;-0.0886;3340.0;3.36;-31.8;30.96;178.16;-76.06;-7.76;3.1;993.71;52.26;23.025976;72.53842;28.66;NaN;;5.02;9.677419;193.28;16 / 20;2034;2018-06-11 15:41:04:318
1.9944;8.5404;1.3097;0.3685;9.5158;2.3417;1.2524;0.0421;-0.3545;0.1339;-0.7352;0.1344;3682.0;4.26;-31.8;30.54;178.69;-76.01;-8.94;3.1;993.72;54.816;23.025976;72.53842;28.66;NaN;;5.02;9.677419;193.28;16 / 20;2533;2018-06-11 15:41:04:817
-0.7446;10.032;4.8604;0.0315;9.5335;2.2981;-0.7761;0.4985;2.5623;0.8449;-0.0529;-0.3671;3660.0;4.5;-33.24;28.44;184.76;-75.91;-4.17;3.1;993.72;55.662;23.025976;72.53842;28.66;NaN;;5.02;9.677419;193.28;16 / 18;3034;2018-06-11 15:41:05:318
-0.9529;13.1158;5.0184;-0.2304;9.6311;1.8329;-0.7226;3.4848;3.1855;0.1522;0.1817;-0.2877;3914.0;3.0;-30.36;30.6;185.48;-79.26;0.84;3.1;993.71;44.841;23.025976;72.53842;28.66;NaN;;5.02;9.677419;193.28;16 / 18;3533;2018-06-11 15:41:05:817
0.4621;12.9363;2.2003;0.2874;9.6891;1.4861;-0.309;3.046;0.1851;0.5816;0.3039;0.0574;5226.0;2.1;-29.88;30.9;173.62;-81.12;-10.95;3.1;993.69;43.368;23.025976;72.53842;28.66;NaN;;5.02;9.677419;193.28;16 / 20;4033;2018-06-11 15:41:06:317
0.8045;13.1015;1.7215;0.0843;9.6914;1.4964;1.6779;2.2009;0.1053;0.1491;-0.2221;-0.2211;6128.0;2.52;-29.7;31.08;182.03;-81.21;-3.22;3.1;993.7;45.26;23.025976;72.53842;28.66;NaN;;5.02;9.677419;193.28;16 / 20;4533;2018-06-11 15:41:06:817
-0.1772;13.1805;2.0639;0.4969;9.7394;1.0328;0.705;-0.112;-0.0679;0.0917;0.109;-0.11;6385.0;5.04;-30.36;31.86;164.72;-83.29;-25.69;3.1;993.68;45.704;23.025976;72.53842;28.66;NaN;;5.02;9.677419;193.28;15 / 18;5033;2018-06-11 15:41:07:317
