ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,PRT_X,PRT_Y,PRT_Z,OUT
6.0639,4.6414,10.0651,6.7064,2.8125,6.5791,-1.0909,2.6614,2.6379,-0.0412,-2.8381,1.4234,-22.97,9.69,-18.59,358.15,-18.29,-39.18,7.177174089,5.092337376,9.065097204,2.5
7.4941,3.8485,11.9898,7.3683,2.7211,5.8715,1.253,1.0989,6.7884,2.3125,-3.1662,1.05,-24.47,10.44,-16.84,14.62,-16.67,-45.55,8.681314575,4.373986903,10.96498094,2.5
7.4941,3.8485,11.9898,7.3683,2.7211,5.8715,1.253,1.0989,6.7884,2.3125,-3.1662,1.05,-24.47,10.44,-16.84,14.62,-16.67,-45.55,8.681314575,4.373986903,10.96498094,2.5
7.4941,3.8485,11.9898,7.3683,2.7211,5.8715,1.253,1.0989,6.7884,2.3125,-3.1662,1.05,-24.47,10.44,-16.84,14.62,-16.67,-45.55,8.681314575,4.373986903,10.96498094,2.5
7.4941,3.8485,11.9898,7.3683,2.7211,5.8715,1.253,1.0989,6.7884,2.3125,-3.1662,1.05,-24.47,10.44,-16.84,14.62,-16.67,-45.55,8.681314575,4.373986903,10.96498094,2.5
9.354,2.8762,9.489,8.6918,4.5308,-0.3088,1.3185,-1.2765,10.8608,-1.0042,0.7092,-1.5162,-27.41,10.44,-15.59,321.19,-27.52,-92.03,9.302722677,3.620767232,9.282260441,2.5
-2.9844,7.781,4.681,8.4016,5.0406,-0.4193,-10.3675,3.0903,5.4265,0.0941,-0.3273,-0.2043,-31.1,-7.63,-28.78,284.85,-29.95,-92.14,-3.018576127,8.16025896,3.957364936,2.5
-1.1955,7.9634,4.8369,8.5565,4.7871,0.2021,-9.0993,3.6252,4.8142,0.1521,0.7028,0.8561,-32.91,-7.25,-24.53,293.01,-29.22,-88.65,-1.178431343,8.339626769,4.159625745,2.5
0.0466,5.3695,2.975,8.7714,4.3752,0.3005,-8.2082,2.0814,2.7249,0.2086,0.8637,0.8748,-30.35,-6.13,-24.09,293.8,-27.54,-88.51,0.06220232,5.580786054,2.556420291,2.5
0.0466,5.3695,2.975,8.7714,4.3752,0.3005,-8.2082,2.0814,2.7249,0.2086,0.8637,0.8748,-30.35,-6.13,-24.09,293.8,-27.54,-88.51,0.06220232,5.580786054,2.556420291,2.5
0.0466,5.3695,2.975,8.7714,4.3752,0.3005,-8.2082,2.0814,2.7249,0.2086,0.8637,0.8748,-30.35,-6.13,-24.09,293.8,-27.54,-88.51,0.06220232,5.580786054,2.556420291,2.5
-0.52858,6.05713,9.6391,7.23733,5.69569,3.36908,-7.10755,0.87956,6.5765,-1.18692,0.10306,-1.23393,-25.537,1.248,-29.654,320.132,-34.616,-67.193,0.038801137,6.985287585,9.004705508,2.5
-0.90961,2.72559,9.32512,6.19181,6.13029,4.50017,-7.48902,0.49059,7.32847,0.29965,-0.16272,-1.17694,-24.849,1.561,-31.779,334.076,-37.786,-54.51,-0.175137383,3.710382996,9.023108064,2.5
-1.14371,4.42877,7.42807,5.99194,6.33911,4.48137,-6.3651,0.33771,5.76748,1.95241,-0.51106,-0.99583,-25.911,-4.314,-31.779,338.159,-40.271,-53.207,-0.559821393,5.229205268,6.959907505,2.5
-0.85968,4.79431,7.27776,5.67646,7.34077,3.17196,-6.03535,-1.64916,4.44949,0.36197,-1.20988,-0.45149,-25.911,-6.564,-30.904,328.72,-48.465,-60.804,-0.455663409,5.689550524,6.641659009,2.5
1.65245,4.65907,8.37006,5.10296,8.25143,1.42971,-2.97863,-2.85772,7.15211,-0.55522,-3.0874,-1.31595,-32.912,-10.939,-24.966,330.18,-57.29,-74.349,1.860773321,5.80579634,7.57137241,2.5
1.55203,4.44867,5.64749,4.40607,8.75972,0.15585,-1.76583,-4.40834,6.35545,1.70793,-2.2858,-2.4659,-34.036,-18.314,-11.717,334.515,-63.284,-87.974,1.567385959,5.256195761,4.899929854,2.5
-1.65012,8.998,7.99594,1.34609,9.40286,-2.43818,-3.3899,0.6833,9.0462,0.20058,-1.6738,-1.782,-29.224,-27.939,2.783,305.941,-70.982,-127.441,-1.988784991,10.17079043,6.342059029,2.5
-2.29346,3.83939,6.37704,0.27924,9.2565,-3.22639,-0.96584,-4.98942,8.97652,1.31271,-1.63332,-1.99559,-27.037,-29.752,23.659,297.751,-72.584,-165.605,-2.648733464,4.79278126,5.539040742,2.5
-3.83421,7.71652,3.49945,-0.93023,9.19724,-3.27351,-4.00177,0.56497,5.68852,-0.69104,-0.71347,-0.28264,-21.474,-33.127,25.845,281.429,-69.338,165.645,-4.027781059,8.140739027,1.999336234,2.5
-3.83421,7.71652,3.49945,-0.93023,9.19724,-3.27351,-4.00177,0.56497,5.68852,-0.69104,-0.71347,-0.28264,-21.474,-33.127,25.845,281.429,-69.338,165.645,-4.027781059,8.140739027,1.999336234,2.5
-3.83421,7.71652,3.49945,-0.93023,9.19724,-3.27351,-4.00177,0.56497,5.68852,-0.69104,-0.71347,-0.28264,-21.474,-33.127,25.845,281.429,-69.338,165.645,-4.027781059,8.140739027,1.999336234,2.5
0.62399,7.52777,8.28386,-7.64531,5.94596,-1.5379,7.07368,2.2361,9.24516,0.48981,-1.20189,-2.50798,-9.724,-40.814,20.221,211.966,-38.981,103.889,0.401441282,8.346825378,7.473176847,2.5
-3.03703,7.58205,8.11777,-8.79362,4.27961,-0.72633,6.76864,3.97563,6.59482,0.87968,-1.02985,-1.72821,4.338,-40.501,30.47,218.654,-25.874,94.722,-3.139691014,8.163767259,7.490291561,2.5
-5.19046,4.76653,8.14421,-9.04413,3.78462,-0.2251,0.97692,2.37153,5.73295,2.1857,-2.24266,-0.13724,7.651,-37.502,33.908,226.879,-22.701,91.426,-5.222416326,5.292352526,7.791419141,2.5
-3.14487,10.08472,3.8671,-8.63994,4.49995,1.12791,4.17727,5.86932,3.66993,1.79529,-2.02534,0.47902,12.776,-33.502,38.158,233.333,-23.42,86.098,-3.068138803,10.36183695,3.124917029,2.5
2.51541,13.97136,0.3306,-8.43676,4.79101,1.42749,10.12497,9.83879,-0.70995,1.19287,-0.75821,-0.58038,14.276,-30.502,40.346,240.573,-29.245,80.397,2.5228652,13.94491359,-0.900011164,2.5
1.5338,8.91481,0.79637,-8.80958,4.23779,0.77647,9.554,6.11651,-0.30739,1.44055,0.45619,-0.99478,17.589,-24.252,46.283,251.455,-26.905,83.682,1.544451204,8.94774369,0.114622409,2.5
-0.49599,4.0089,-1.87219,-9.03287,3.80612,0.30169,7.38651,0.80919,-2.19698,0.94786,-0.03809,-0.37,20.901,-16.502,48.907,258.46,-23.363,87.696,-0.505841069,3.875956057,-2.131541729,2.5
-0.92812,5.1568,0.24352,-9.00438,3.87985,0.19569,6.60178,1.91229,0.07987,1.38142,0.15259,0.00391,20.901,-13.565,49.721,264.806,-22.99,87.743,-0.927282861,5.161673352,-0.102808884,2.5
-2.14046,3.73779,-5.12546,-8.9479,4.0129,-0.04628,5.28635,0.40706,-5.08704,0.1846,-0.97073,0.20311,21.651,-9.502,48.907,270.072,-23.913,90.825,-2.13631927,3.369819916,-5.376191684,2.5
-5.04106,0.86827,-0.20932,-8.71189,4.40038,0.95391,2.12803,-2.75283,-0.9943,-2.95633,-0.56752,1.19168,22.026,-15.752,47.658,264.758,-25.651,86.288,-5.043846145,0.856091691,-0.191615927,2.5
4.05811,9.80176,9.8931,-7.45481,5.55866,3.11407,10.07082,5.218,7.26316,-3.01865,-0.30228,2.55415,14.651,-32.751,33.533,234.227,-34.529,67.328,4.589550819,10.69119202,8.66317609,2.5
7.60179,11.43778,7.73529,-6.30722,5.44319,5.1731,13.23376,7.62799,2.87284,-3.42612,-0.51532,0.03534,9.464,-39.752,28.471,218.175,-35.783,54.174,8.268279458,12.05195787,5.901745528,2.5
2.9843,6.64436,12.06166,-5.94702,2.41866,7.41306,9.67925,5.15972,5.23053,-3.0325,-1.06075,-1.73779,10.963,-41.939,10.909,200.609,-14.278,38.738,4.515572294,7.126952125,11.28509497,2.5
3.90285,5.53528,6.14229,-3.71403,0.77723,9.0428,6.91358,4.90523,-1.18815,-1.3089,-3.77504,-0.24429,11.713,-41.252,4.095,199.912,-6.078,28.607,4.819740048,5.608733249,5.37694211,2.5
4.64424,4.33041,10.88945,-0.42217,-1.20067,9.72371,5.1129,5.37563,2.55853,-1.9209,-2.493,-1.61955,12.776,-36.064,-3.154,194.266,3.847,7.443,6.416718336,4.12099487,10.03716416,2.5
