Row,DOWN
0,-0.030772607
1,-0.057134624
2,-0.06650884
3,-0.254161793
4,-0.405360415
5,-0.305695242
6,-0.229715961
7,-0.281334536
8,-0.349846564
9,-0.048344519
10,-0.177468098
11,-0.003581339
12,0.075139434
13,0.542101475
14,0.429327678
15,0.310290848
16,0.22613642
17,0.265566575
18,0.174825577
19,-0.117961803
20,-0.254529587
21,-0.344871537
22,-0.360349608
23,-0.268672856
24,-0.000779097
25,-0.05687196
26,0.254113727
27,0.281794744
28,0.365993894
29,0.208680657
30,-0.210353838
31,-0.3150857
32,-0.246693877
33,-0.28323523
34,-0.186693416
35,0.126211434
36,0.218983194
37,0.239206607
38,0.328933503
39,0.092143302
40,-0.0450707
41,-0.149793243
42,-0.13249459
43,-0.110857667
44,0.154277948
45,0.185684264
46,0.08804136
47,0.008938309
48,-0.261709368
49,-0.310014705
50,-0.143906638
51,-0.12388196
52,-0.003171374
53,0.094060316
54,0.315873299
55,0.156507794
56,-0.000231909
57,-0.222759838
58,-0.322352139
59,-0.410998535
60,-0.27265356
61,-0.154277606
62,-0.079162262
63,0.081533384
64,0.059767821
65,0.27813936
66,0.341567741
67,0.314392136
68,0.355405748
69,0.025438318
70,-0.098218565
71,-0.393421172
72,-0.32749887
73,-0.313738019
74,-0.165851229
75,-0.048989279
76,0.083235517
77,0.143981388
78,0.340685258
79,0.217858799
80,0.292444157
81,0.271612884
82,-0.066863924
83,0.075530774
84,-0.359633703
85,-0.252721783
86,-0.29036104
87,-0.422884802
88,-0.259151844
89,-0.29585197
90,-0.151767672
91,-0.09778471
92,-0.082410236
93,0.097433714
94,0.05377154
95,0.487722443
96,0.342098711
97,0.17949072
98,0.295680764
99,0.272480789
100,0.370365709
101,0.293782557
102,0.321288704
103,-0.115642293
104,0.201148867
105,-0.125824712
106,0.027346045
107,-0.356431283
108,-0.340218331
109,-0.354144543
110,-0.382615489
111,-0.333706764
112,-0.351107587
113,-0.22699264
114,-0.173004242
115,-0.223326627
116,-0.203767335
117,-0.050840703
118,-0.059007136
119,-0.04149658
120,0.065951104
121,0.065551921
122,0.197557952
123,0.377478086
124,0.347703797
125,0.43148185
126,0.317855113
127,0.364090908
128,0.311648136
129,0.317711656
130,-0.105538165
131,0.032932617
132,-0.269268938
133,-0.287728438
134,-0.354727737
135,-0.500679877
136,-0.213647254
137,-0.18414599
138,-0.143686675
139,-0.040800475
140,-0.077282614
141,0.183105862
142,0.041219977
143,0.321777289
144,0.480792352
145,0.2615181
146,0.189258386
147,-0.266144625
148,-0.258642976
149,-0.445634236
150,-0.19973346
151,-0.187343966
152,-0.115412546
153,0.110392406
154,0.411421188
155,0.338713854
156,0.347783622
157,0.356081813
158,0.081597039
159,-0.142665539
160,-0.19135958
161,-0.258989419
162,-0.35076261
163,-0.169919813
164,-0.043030164
165,0.004323034
166,0.169547878
167,0.213365051
168,0.193012603
169,0.156886501
170,0.292112122
171,0.24123921
172,0.168508668
173,0.083369135
174,-0.082596277
175,-0.079287904
176,-0.27520005
177,-0.303870448
178,-0.387060448
179,-0.413732596
180,-0.251541974
