ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.6704,1.6664,9.2512,-59.22,-12.54,-22.26,99.26,-8.32,11.43,18,2018-07-07 14:53:41:495
-0.6704,1.6664,9.2512,-59.22,-12.54,-22.26,99.26,-8.32,11.43,41,2018-07-07 14:53:41:518
-0.6704,1.6664,9.2512,-57.84,-14.64,-21.6,101.07,-10.18,4.14,65,2018-07-07 14:53:41:542
-0.1149,2.4421,8.7245,-57.84,-14.64,-21.6,101.07,-10.18,4.14,89,2018-07-07 14:53:41:566
-0.1149,2.4421,8.7245,-57.84,-14.64,-21.6,101.07,-10.18,4.14,114,2018-07-07 14:53:41:591
-0.1149,2.4421,8.7245,-57.84,-14.64,-21.6,101.07,-10.18,4.14,138,2018-07-07 14:53:41:615
-0.1149,2.4421,8.7245,-57.84,-14.64,-21.6,101.07,-10.18,4.14,162,2018-07-07 14:53:41:639
-0.6704,2.9975,8.9735,-57.84,-14.64,-21.6,101.07,-10.18,4.14,186,2018-07-07 14:53:41:663
-0.6704,2.9975,8.9735,-57.84,-14.64,-21.6,101.07,-10.18,4.14,210,2018-07-07 14:53:41:687
-0.6704,2.9975,8.9735,-57.84,-14.64,-21.6,101.07,-10.18,4.14,234,2018-07-07 14:53:41:711
-0.6704,2.9975,8.9735,-55.86,-15.84,-20.52,99.76,-18.42,4.27,257,2018-07-07 14:53:41:734
-0.6704,2.9975,8.9735,-55.86,-15.84,-20.52,99.76,-18.42,4.27,282,2018-07-07 14:53:41:759
-0.2873,3.2561,9.2895,-55.86,-15.84,-20.52,99.76,-18.42,4.27,305,2018-07-07 14:53:41:782
-0.2873,3.2561,9.2895,-55.86,-15.84,-20.52,99.76,-18.42,4.27,329,2018-07-07 14:53:41:806
-0.2873,3.2561,9.2895,-55.86,-15.84,-20.52,99.76,-18.42,4.27,353,2018-07-07 14:53:41:830
-0.2873,3.2561,9.2895,-55.86,-15.84,-20.52,99.76,-18.42,4.27,377,2018-07-07 14:53:41:854
-0.2873,3.2561,9.2895,-55.86,-15.84,-20.52,99.76,-18.42,4.27,401,2018-07-07 14:53:41:878
-0.1437,3.2178,9.7971,-55.86,-15.84,-20.52,99.76,-18.42,4.27,426,2018-07-07 14:53:41:903
-0.1437,3.2178,9.7971,-55.5,-16.56,-18.0,101.05,-18.18,0.84,449,2018-07-07 14:53:41:926
-0.1437,3.2178,9.7971,-55.5,-16.56,-18.0,101.05,-18.18,0.84,474,2018-07-07 14:53:41:951
-0.1437,3.2178,9.7971,-55.5,-16.56,-18.0,101.05,-18.18,0.84,498,2018-07-07 14:53:41:975
-0.1437,3.2178,9.7971,-55.5,-16.56,-18.0,101.05,-18.18,0.84,522,2018-07-07 14:53:41:999
-0.1053,1.9154,9.1363,-55.5,-16.56,-18.0,101.05,-18.18,0.84,546,2018-07-07 14:53:42:023
-0.1053,1.9154,9.1363,-55.5,-16.56,-18.0,101.05,-18.18,0.84,569,2018-07-07 14:53:42:046
-0.1053,1.9154,9.1363,-55.5,-16.56,-18.0,101.05,-18.18,0.84,593,2018-07-07 14:53:42:070
-0.1053,1.9154,9.1363,-55.5,-16.56,-18.0,101.05,-18.18,0.84,618,2018-07-07 14:53:42:095
-0.1053,1.9154,9.1363,-55.5,-16.56,-18.0,101.05,-18.18,0.84,642,2018-07-07 14:53:42:119
1.245,2.1739,9.6917,-55.68,-17.16,-16.26,103.5,-11.84,0.66,665,2018-07-07 14:53:42:142
1.245,2.1739,9.6917,-55.68,-17.16,-16.26,103.5,-11.84,0.66,689,2018-07-07 14:53:42:166
1.245,2.1739,9.6917,-55.68,-17.16,-16.26,103.5,-11.84,0.66,713,2018-07-07 14:53:42:190
1.245,2.1739,9.6917,-55.68,-17.16,-16.26,103.5,-11.84,0.66,737,2018-07-07 14:53:42:214
1.245,2.1739,9.6917,-55.68,-17.16,-16.26,103.5,-11.84,0.66,762,2018-07-07 14:53:42:239
-0.0958,2.4229,8.169,-55.68,-17.16,-16.26,103.5,-11.84,0.66,786,2018-07-07 14:53:42:263
-0.0958,2.4229,8.169,-55.68,-17.16,-16.26,103.5,-11.84,0.66,809,2018-07-07 14:53:42:286
-0.0958,2.4229,8.169,-55.68,-17.16,-16.26,103.5,-11.84,0.66,833,2018-07-07 14:53:42:310
-0.0958,2.4229,8.169,-55.44,-18.78,-15.3,104.37,-16.52,0.67,857,2018-07-07 14:53:42:334
-0.0958,2.4229,8.169,-55.44,-18.78,-15.3,104.37,-16.52,0.67,882,2018-07-07 14:53:42:359
0.6704,2.9975,9.2895,-55.44,-18.78,-15.3,104.37,-16.52,0.67,906,2018-07-07 14:53:42:383
0.6704,2.9975,9.2895,-55.44,-18.78,-15.3,104.37,-16.52,0.67,929,2018-07-07 14:53:42:406
0.6704,2.9975,9.2895,-55.44,-18.78,-15.3,104.37,-16.52,0.67,954,2018-07-07 14:53:42:431
0.6704,2.9975,9.2895,-55.44,-18.78,-15.3,104.37,-16.52,0.67,977,2018-07-07 14:53:42:454
0.6704,2.9975,9.2895,-55.44,-18.78,-15.3,104.37,-16.52,0.67,1002,2018-07-07 14:53:42:479
0.4788,3.4955,8.9639,-55.44,-18.78,-15.3,104.37,-16.52,0.67,1025,2018-07-07 14:53:42:502
0.4788,3.4955,8.9639,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1050,2018-07-07 14:53:42:527
0.4788,3.4955,8.9639,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1073,2018-07-07 14:53:42:550
0.4788,3.4955,8.9639,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1097,2018-07-07 14:53:42:574
0.4788,3.4955,8.9639,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1121,2018-07-07 14:53:42:598
0.1532,3.7445,10.3525,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1145,2018-07-07 14:53:42:622
0.1532,3.7445,10.3525,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1170,2018-07-07 14:53:42:647
0.1532,3.7445,10.3525,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1193,2018-07-07 14:53:42:670
0.1532,3.7445,10.3525,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1218,2018-07-07 14:53:42:695
-0.3543,3.2178,10.7643,-54.78,-20.4,-14.76,102.64,-21.28,-3.06,1241,2018-07-07 14:53:42:718
-0.3543,3.2178,10.7643,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1266,2018-07-07 14:53:42:743
-0.3543,3.2178,10.7643,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1289,2018-07-07 14:53:42:766
-0.3543,3.2178,10.7643,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1314,2018-07-07 14:53:42:791
-0.3543,3.2178,10.7643,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1337,2018-07-07 14:53:42:814
-1.0151,2.2889,7.1826,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1361,2018-07-07 14:53:42:838
-1.0151,2.2889,7.1826,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1385,2018-07-07 14:53:42:862
-1.0151,2.2889,7.1826,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1409,2018-07-07 14:53:42:886
-1.0151,2.2889,7.1826,-52.02,-21.84,-14.16,108.52,-16.63,1.89,1434,2018-07-07 14:53:42:911
-1.0151,2.2889,7.1826,-50.34,-23.52,-14.22,112.03,-17.51,8.04,1457,2018-07-07 14:53:42:934
-0.2203,2.5379,10.5441,-50.34,-23.52,-14.22,112.03,-17.51,8.04,1482,2018-07-07 14:53:42:959
-0.2203,2.5379,10.5441,-50.34,-23.52,-14.22,112.03,-17.51,8.04,1505,2018-07-07 14:53:42:982
-0.2203,2.5379,10.5441,-50.34,-23.52,-14.22,112.03,-17.51,8.04,1529,2018-07-07 14:53:43:006
-0.2203,2.5379,10.5441,-50.34,-23.52,-14.22,112.03,-17.51,8.04,1553,2018-07-07 14:53:43:030
-0.2203,2.5379,10.5441,-50.34,-23.52,-14.22,112.03,-17.51,8.04,1577,2018-07-07 14:53:43:054
0.0192,2.8156,7.9871,-50.34,-23.52,-14.22,112.03,-17.51,8.04,1602,2018-07-07 14:53:43:079
0.0192,2.8156,7.9871,-50.34,-23.52,-14.22,112.03,-17.51,8.04,1625,2018-07-07 14:53:43:102
0.0192,2.8156,7.9871,-48.42,-23.52,-13.98,110.51,-19.42,-0.14,1650,2018-07-07 14:53:43:127
0.0192,2.8156,7.9871,-48.42,-23.52,-13.98,110.51,-19.42,-0.14,1673,2018-07-07 14:53:43:150
0.0096,3.3806,8.7819,-48.42,-23.52,-13.98,110.51,-19.42,-0.14,1698,2018-07-07 14:53:43:175
0.0096,3.3806,8.7819,-48.42,-23.52,-13.98,110.51,-19.42,-0.14,1721,2018-07-07 14:53:43:198
0.0096,3.3806,8.7819,-48.42,-23.52,-13.98,110.51,-19.42,-0.14,1746,2018-07-07 14:53:43:223
0.0096,3.3806,8.7819,-48.42,-23.52,-13.98,110.51,-19.42,-0.14,1770,2018-07-07 14:53:43:247
0.2203,3.9361,8.7819,-48.42,-23.52,-13.98,110.51,-19.42,-0.14,1794,2018-07-07 14:53:43:271
0.2203,3.9361,8.7819,-48.42,-23.52,-13.98,110.51,-19.42,-0.14,1817,2018-07-07 14:53:43:294
0.2203,3.9361,8.7819,-48.42,-23.52,-13.98,110.51,-19.42,-0.14,1842,2018-07-07 14:53:43:319
0.2203,3.9361,8.7819,-47.34,-22.56,-13.38,108.04,-24.14,-1.44,1865,2018-07-07 14:53:43:342
0.4693,3.9456,10.4291,-47.34,-22.56,-13.38,108.04,-24.14,-1.44,1889,2018-07-07 14:53:43:366
0.4693,3.9456,10.4291,-47.34,-22.56,-13.38,108.04,-24.14,-1.44,1914,2018-07-07 14:53:43:391
0.4693,3.9456,10.4291,-47.34,-22.56,-13.38,108.04,-24.14,-1.44,1937,2018-07-07 14:53:43:414
0.4693,3.9456,10.4291,-46.8,-21.3,-13.38,108.04,-24.14,-1.44,1962,2018-07-07 14:53:43:439
0.4693,3.9456,10.4291,-46.8,-21.3,-13.38,108.04,-24.14,-1.44,1986,2018-07-07 14:53:43:463
0.996,2.5857,10.3908,-46.8,-21.3,-13.38,108.04,-24.14,-1.44,2009,2018-07-07 14:53:43:486
0.996,2.5857,10.3908,-46.8,-21.3,-13.38,108.04,-24.14,-1.44,2034,2018-07-07 14:53:43:511
0.996,2.5857,10.3908,-46.8,-21.3,-13.38,108.04,-24.14,-1.44,2058,2018-07-07 14:53:43:535
0.996,2.5857,10.3908,-46.8,-21.3,-13.38,108.04,-24.14,-1.44,2081,2018-07-07 14:53:43:558
0.7374,2.241,9.1267,-46.8,-21.3,-13.38,108.04,-24.14,-1.44,2106,2018-07-07 14:53:43:583
0.7374,2.241,9.1267,-46.8,-21.3,-13.38,108.04,-24.14,-1.44,2129,2018-07-07 14:53:43:606
0.7374,2.241,9.1267,-47.04,-19.62,-13.74,108.4,-13.75,-4.62,2153,2018-07-07 14:53:43:630
0.7374,2.241,9.1267,-47.04,-19.62,-13.74,108.4,-13.75,-4.62,2178,2018-07-07 14:53:43:655
0.7374,2.241,9.1267,-47.04,-19.62,-13.74,108.4,-13.75,-4.62,2201,2018-07-07 14:53:43:678
0.4501,2.6432,8.849,-47.04,-19.62,-13.74,108.4,-13.75,-4.62,2226,2018-07-07 14:53:43:703
0.4501,2.6432,8.849,-47.04,-19.62,-13.74,108.4,-13.75,-4.62,2249,2018-07-07 14:53:43:726
0.4501,2.6432,8.849,-46.56,-18.6,-13.44,108.4,-13.75,-4.62,2274,2018-07-07 14:53:43:751
0.4501,2.6432,8.849,-46.56,-18.6,-13.44,108.4,-13.75,-4.62,2297,2018-07-07 14:53:43:774
0.4501,2.6432,8.849,-46.56,-18.6,-13.44,108.4,-13.75,-4.62,2322,2018-07-07 14:53:43:799
0.1628,3.3902,8.4276,-46.56,-18.6,-13.44,108.4,-13.75,-4.62,2345,2018-07-07 14:53:43:822
0.1628,3.3902,8.4276,-46.56,-18.6,-13.44,108.4,-13.75,-4.62,2369,2018-07-07 14:53:43:846
0.1628,3.3902,8.4276,-46.56,-18.6,-13.44,108.4,-13.75,-4.62,2394,2018-07-07 14:53:43:871
0.1628,3.3902,8.4276,-45.12,-18.24,-13.56,104.0,-21.91,-1.11,2451,2018-07-07 14:53:43:928
0.1628,3.3902,8.4276,-45.12,-18.24,-13.56,104.0,-21.91,-1.11,2452,2018-07-07 14:53:43:929
0.0479,4.2234,8.3031,-45.12,-18.24,-13.56,104.0,-21.91,-1.11,2466,2018-07-07 14:53:43:943
0.0479,4.2234,8.3031,-45.12,-18.24,-13.56,104.0,-21.91,-1.11,2489,2018-07-07 14:53:43:966
0.0479,4.2234,8.3031,-45.12,-18.24,-13.56,104.0,-21.91,-1.11,2513,2018-07-07 14:53:43:990
0.0479,4.2234,8.3031,-45.12,-18.24,-13.56,104.0,-21.91,-1.11,2538,2018-07-07 14:53:44:015
0.0479,4.2234,8.3031,-45.12,-18.24,-13.56,104.0,-21.91,-1.11,2561,2018-07-07 14:53:44:038
0.3256,4.2329,10.9176,-45.12,-18.24,-13.56,104.0,-21.91,-1.11,2586,2018-07-07 14:53:44:063
0.3256,4.2329,10.9176,-45.12,-18.24,-13.56,104.0,-21.91,-1.11,2610,2018-07-07 14:53:44:087
0.3256,4.2329,10.9176,-45.12,-18.24,-13.56,104.0,-21.91,-1.11,2633,2018-07-07 14:53:44:110
0.3256,4.2329,10.9176,-43.26,-18.36,-13.44,105.27,-21.18,-1.71,2657,2018-07-07 14:53:44:134
0.3256,4.2329,10.9176,-43.26,-18.36,-13.44,105.27,-21.18,-1.71,2681,2018-07-07 14:53:44:158
-0.1149,3.486,9.8258,-43.26,-18.36,-13.44,105.27,-21.18,-1.71,2705,2018-07-07 14:53:44:182
-0.1149,3.486,9.8258,-43.26,-18.36,-13.44,105.27,-21.18,-1.71,2729,2018-07-07 14:53:44:206
-0.1149,3.486,9.8258,-43.26,-18.36,-13.44,105.27,-21.18,-1.71,2753,2018-07-07 14:53:44:230
-0.1149,3.486,9.8258,-43.26,-18.36,-13.44,105.27,-21.18,-1.71,2777,2018-07-07 14:53:44:254
-0.1149,3.486,9.8258,-43.26,-18.36,-13.44,105.27,-21.18,-1.71,2801,2018-07-07 14:53:44:278
-1.1396,2.49,7.4603,-43.26,-18.36,-13.44,105.27,-21.18,-1.71,2826,2018-07-07 14:53:44:303
-1.1396,2.49,7.4603,-41.7,-18.9,-12.84,110.21,-18.26,8.69,2849,2018-07-07 14:53:44:326
-1.1396,2.49,7.4603,-41.7,-18.9,-12.84,110.21,-18.26,8.69,2873,2018-07-07 14:53:44:350
-1.1396,2.49,7.4603,-41.7,-18.9,-12.84,110.21,-18.26,8.69,2897,2018-07-07 14:53:44:374
-1.1396,2.49,7.4603,-41.7,-18.9,-12.84,110.21,-18.26,8.69,2922,2018-07-07 14:53:44:399
-0.249,2.5762,9.1842,-41.7,-18.9,-12.84,110.21,-18.26,8.69,2945,2018-07-07 14:53:44:422
-0.249,2.5762,9.1842,-40.44,-18.54,-12.42,110.21,-18.26,8.69,2970,2018-07-07 14:53:44:447
-0.249,2.5762,9.1842,-40.44,-18.54,-12.42,110.21,-18.26,8.69,2993,2018-07-07 14:53:44:470
-0.249,2.5762,9.1842,-40.44,-18.54,-12.42,110.21,-18.26,8.69,3018,2018-07-07 14:53:44:495
-0.249,2.5762,9.1842,-40.44,-18.54,-12.42,110.21,-18.26,8.69,3043,2018-07-07 14:53:44:520
0.1628,3.2848,7.8147,-40.44,-18.54,-12.42,110.21,-18.26,8.69,3066,2018-07-07 14:53:44:543
0.1628,3.2848,7.8147,-40.44,-18.54,-12.42,110.21,-18.26,8.69,3089,2018-07-07 14:53:44:566
0.1628,3.2848,7.8147,-40.44,-18.54,-12.42,110.21,-18.26,8.69,3114,2018-07-07 14:53:44:591
0.1628,3.2848,7.8147,-40.44,-18.54,-12.42,110.21,-18.26,8.69,3138,2018-07-07 14:53:44:615
0.1628,3.2848,7.8147,-39.84,-17.34,-11.64,105.07,-22.79,-1.19,3162,2018-07-07 14:53:44:639
0.1149,3.869,8.6383,-39.84,-17.34,-11.64,105.07,-22.79,-1.19,3185,2018-07-07 14:53:44:662
0.1149,3.869,8.6383,-39.84,-17.34,-11.64,105.07,-22.79,-1.19,3210,2018-07-07 14:53:44:687
0.1149,3.869,8.6383,-39.84,-17.34,-11.64,105.07,-22.79,-1.19,3233,2018-07-07 14:53:44:710
0.1149,3.869,8.6383,-39.84,-17.34,-11.64,105.07,-22.79,-1.19,3258,2018-07-07 14:53:44:735
0.1149,3.869,8.6383,-39.84,-17.34,-11.64,105.07,-22.79,-1.19,3281,2018-07-07 14:53:44:758
0.0192,3.9744,9.6247,-39.84,-17.34,-11.64,105.07,-22.79,-1.19,3305,2018-07-07 14:53:44:782
0.0192,3.9744,9.6247,-39.84,-17.34,-11.64,105.07,-22.79,-1.19,3329,2018-07-07 14:53:44:806
0.0192,3.9744,9.6247,-40.62,-16.26,-11.16,104.45,-22.44,-0.11,3354,2018-07-07 14:53:44:831
0.3926,3.5721,10.0652,-40.62,-16.26,-11.16,104.45,-22.44,-0.11,3378,2018-07-07 14:53:44:855
0.3926,3.5721,10.0652,-40.62,-16.26,-11.16,104.45,-22.44,-0.11,3402,2018-07-07 14:53:44:879
0.3926,3.5721,10.0652,-40.62,-16.26,-11.16,104.45,-22.44,-0.11,3425,2018-07-07 14:53:44:902
0.3926,3.5721,10.0652,-40.62,-16.26,-11.16,104.45,-22.44,-0.11,3449,2018-07-07 14:53:44:926
0.3926,3.5721,10.0652,-40.62,-16.26,-11.16,104.45,-22.44,-0.11,3473,2018-07-07 14:53:44:950
0.3735,2.2984,8.5042,-40.62,-16.26,-11.16,104.45,-22.44,-0.11,3498,2018-07-07 14:53:44:975
0.3735,2.2984,8.5042,-40.62,-16.26,-11.16,104.45,-22.44,-0.11,3521,2018-07-07 14:53:44:998
0.3735,2.2984,8.5042,-40.62,-16.26,-11.16,104.45,-22.44,-0.11,3545,2018-07-07 14:53:45:022
0.3735,2.2984,8.5042,-39.9,-15.48,-10.74,105.78,-15.11,-2.51,3572,2018-07-07 14:53:45:049
0.3735,2.2984,8.5042,-39.9,-15.48,-10.74,105.78,-15.11,-2.51,3594,2018-07-07 14:53:45:071
1.1301,2.2027,9.8354,-39.9,-15.48,-10.74,105.78,-15.11,-2.51,3618,2018-07-07 14:53:45:095
1.1301,2.2027,9.8354,-39.9,-15.48,-10.74,105.78,-15.11,-2.51,3641,2018-07-07 14:53:45:118
1.1301,2.2027,9.8354,-39.9,-15.48,-10.74,105.78,-15.11,-2.51,3665,2018-07-07 14:53:45:142
1.1301,2.2027,9.8354,-39.9,-15.48,-10.74,105.78,-15.11,-2.51,3690,2018-07-07 14:53:45:167
1.1301,2.2027,9.8354,-39.9,-15.48,-10.74,105.78,-15.11,-2.51,3713,2018-07-07 14:53:45:190
0.1532,3.3902,7.5369,-39.9,-15.48,-10.74,105.78,-15.11,-2.51,3738,2018-07-07 14:53:45:215
0.1532,3.3902,7.5369,-40.26,-15.72,-10.5,104.32,-24.21,-1.16,3761,2018-07-07 14:53:45:238
0.1532,3.3902,7.5369,-40.26,-15.72,-10.5,104.32,-24.21,-1.16,3785,2018-07-07 14:53:45:262
0.1532,3.3902,7.5369,-40.26,-15.72,-10.5,104.32,-24.21,-1.16,3809,2018-07-07 14:53:45:286
0.1532,3.3902,7.5369,-40.26,-15.72,-10.5,104.32,-24.21,-1.16,3833,2018-07-07 14:53:45:310
0.5555,3.8882,9.2895,-40.26,-15.72,-10.5,104.32,-24.21,-1.16,3857,2018-07-07 14:53:45:334
0.5555,3.8882,9.2895,-40.26,-15.72,-10.5,104.32,-24.21,-1.16,3882,2018-07-07 14:53:45:359
0.5555,3.8882,9.2895,-40.26,-15.72,-10.5,104.32,-24.21,-1.16,3905,2018-07-07 14:53:45:382
0.5555,3.8882,9.2895,-40.26,-15.72,-10.5,104.32,-24.21,-1.16,3929,2018-07-07 14:53:45:406
0.5555,3.8882,9.2895,-39.66,-16.8,-10.5,105.51,-22.68,-3.42,3953,2018-07-07 14:53:45:430
0.4501,3.8499,10.5632,-39.66,-16.8,-10.5,105.51,-22.68,-3.42,3977,2018-07-07 14:53:45:454
0.4501,3.8499,10.5632,-39.66,-16.8,-10.5,105.51,-22.68,-3.42,4002,2018-07-07 14:53:45:479
0.4501,3.8499,10.5632,-39.66,-16.8,-10.5,105.51,-22.68,-3.42,4025,2018-07-07 14:53:45:502
0.4501,3.8499,10.5632,-39.66,-16.8,-10.5,105.51,-22.68,-3.42,4049,2018-07-07 14:53:45:526
0.5076,2.7773,11.9327,-39.66,-16.8,-10.5,105.51,-22.68,-3.42,4073,2018-07-07 14:53:45:550
0.5076,2.7773,11.9327,-39.66,-16.8,-10.5,105.51,-22.68,-3.42,4097,2018-07-07 14:53:45:574
0.5076,2.7773,11.9327,-39.66,-16.8,-10.5,105.51,-22.68,-3.42,4121,2018-07-07 14:53:45:598
0.5076,2.7773,11.9327,-39.66,-16.8,-10.5,105.51,-22.68,-3.42,4145,2018-07-07 14:53:45:622
0.5076,2.7773,11.9327,-38.46,-17.52,-9.96,111.65,-13.09,-2.44,4169,2018-07-07 14:53:45:646
0.0287,2.2218,8.6479,-38.46,-17.52,-9.96,111.65,-13.09,-2.44,4194,2018-07-07 14:53:45:671
0.0287,2.2218,8.6479,-38.46,-17.52,-9.96,111.65,-13.09,-2.44,4218,2018-07-07 14:53:45:695
0.0287,2.2218,8.6479,-38.46,-17.52,-9.96,111.65,-13.09,-2.44,4242,2018-07-07 14:53:45:719
0.0287,2.2218,8.6479,-38.46,-17.52,-9.96,111.65,-13.09,-2.44,4266,2018-07-07 14:53:45:743
0.0287,2.2218,8.6479,-38.46,-17.52,-9.96,111.65,-13.09,-2.44,4289,2018-07-07 14:53:45:766
0.0192,2.4421,8.8777,-38.46,-17.52,-9.96,111.65,-13.09,-2.44,4314,2018-07-07 14:53:45:791
0.0192,2.4421,8.8777,-38.46,-17.52,-9.96,111.65,-13.09,-2.44,4338,2018-07-07 14:53:45:815
0.0192,2.4421,8.8777,-37.86,-17.82,-9.84,111.14,-15.38,-0.12,4361,2018-07-07 14:53:45:838
0.0192,2.4421,8.8777,-37.86,-17.82,-9.84,111.14,-15.38,-0.12,4385,2018-07-07 14:53:45:862
0.0192,2.4421,8.8777,-37.86,-17.82,-9.84,111.14,-15.38,-0.12,4409,2018-07-07 14:53:45:886
0.4214,3.0454,8.4946,-37.86,-17.82,-9.84,111.14,-15.38,-0.12,4433,2018-07-07 14:53:45:910
0.4214,3.0454,8.4946,-37.86,-17.82,-9.84,111.14,-15.38,-0.12,4458,2018-07-07 14:53:45:935
0.4214,3.0454,8.4946,-37.86,-17.82,-9.84,111.14,-15.38,-0.12,4482,2018-07-07 14:53:45:959
0.4214,3.0454,8.4946,-37.86,-17.82,-9.84,111.14,-15.38,-0.12,4505,2018-07-07 14:53:45:982
0.4214,3.0454,8.4946,-37.86,-17.82,-9.84,111.14,-15.38,-0.12,4529,2018-07-07 14:53:46:006
0.4597,3.5147,8.5617,-37.86,-17.82,-9.84,111.14,-15.38,-0.12,4553,2018-07-07 14:53:46:030
0.4597,3.5147,8.5617,-37.2,-16.8,-9.54,107.08,-22.29,-3.07,4578,2018-07-07 14:53:46:055
0.4597,3.5147,8.5617,-37.2,-16.8,-9.54,107.08,-22.29,-3.07,4602,2018-07-07 14:53:46:079
0.4597,3.5147,8.5617,-37.2,-16.8,-9.54,107.08,-22.29,-3.07,4625,2018-07-07 14:53:46:102
0.4597,3.5147,8.5617,-37.2,-16.8,-9.54,107.08,-22.29,-3.07,4649,2018-07-07 14:53:46:126
0.498,3.6966,9.9599,-37.2,-16.8,-9.54,107.08,-22.29,-3.07,4673,2018-07-07 14:53:46:150
0.498,3.6966,9.9599,-37.2,-16.8,-9.54,107.08,-22.29,-3.07,4697,2018-07-07 14:53:46:174
0.498,3.6966,9.9599,-37.2,-16.8,-9.54,107.08,-22.29,-3.07,4721,2018-07-07 14:53:46:198
0.498,3.6966,9.9599,-37.2,-16.8,-9.54,107.08,-22.29,-3.07,4745,2018-07-07 14:53:46:222
0.498,3.6966,9.9599,-37.02,-15.18,-8.88,105.75,-20.34,-2.86,4770,2018-07-07 14:53:46:247
1.5036,2.8922,11.5592,-37.02,-15.18,-8.88,105.75,-20.34,-2.86,4793,2018-07-07 14:53:46:270
1.5036,2.8922,11.5592,-37.02,-15.18,-8.88,105.75,-20.34,-2.86,4849,2018-07-07 14:53:46:326
1.5036,2.8922,11.5592,-37.02,-15.18,-8.88,105.75,-20.34,-2.86,4850,2018-07-07 14:53:46:327
1.5036,2.8922,11.5592,-37.02,-15.18,-8.88,105.75,-20.34,-2.86,4865,2018-07-07 14:53:46:342
1.5036,2.8922,11.5592,-37.02,-15.18,-8.88,105.75,-20.34,-2.86,4889,2018-07-07 14:53:46:366
1.743,2.2218,9.979,-37.02,-15.18,-8.88,105.75,-20.34,-2.86,4914,2018-07-07 14:53:46:391
1.743,2.2218,9.979,-37.02,-15.18,-8.88,105.75,-20.34,-2.86,4938,2018-07-07 14:53:46:415
1.743,2.2218,9.979,-36.42,-13.92,-8.58,107.12,-12.37,-9.91,4961,2018-07-07 14:53:46:438
1.743,2.2218,9.979,-36.42,-13.92,-8.58,107.12,-12.37,-9.91,4986,2018-07-07 14:53:46:463
1.743,2.2218,9.979,-36.42,-13.92,-8.58,107.12,-12.37,-9.91,5010,2018-07-07 14:53:46:487
1.0439,2.5953,7.3933,-36.42,-13.92,-8.58,107.12,-12.37,-9.91,5034,2018-07-07 14:53:46:511
1.0439,2.5953,7.3933,-36.42,-13.92,-8.58,107.12,-12.37,-9.91,5057,2018-07-07 14:53:46:534
1.0439,2.5953,7.3933,-36.42,-13.92,-8.58,107.12,-12.37,-9.91,5081,2018-07-07 14:53:46:558
1.0439,2.5953,7.3933,-36.42,-13.92,-8.58,107.12,-12.37,-9.91,5105,2018-07-07 14:53:46:582
0.8045,2.988,9.347,-36.42,-13.92,-8.58,107.12,-12.37,-9.91,5130,2018-07-07 14:53:46:607
0.8045,2.988,9.347,-36.12,-12.48,-8.28,102.93,-17.67,-4.92,5153,2018-07-07 14:53:46:630
0.8045,2.988,9.347,-36.12,-12.48,-8.28,102.93,-17.67,-4.92,5177,2018-07-07 14:53:46:654
0.8045,2.988,9.347,-36.12,-12.48,-8.28,102.93,-17.67,-4.92,5202,2018-07-07 14:53:46:679
0.8045,2.988,9.347,-36.12,-12.48,-8.28,102.93,-17.67,-4.92,5226,2018-07-07 14:53:46:703
0.7278,3.6583,8.7628,-36.12,-12.48,-8.28,102.93,-17.67,-4.92,5250,2018-07-07 14:53:46:727
0.7278,3.6583,8.7628,-36.12,-12.48,-8.28,102.93,-17.67,-4.92,5274,2018-07-07 14:53:46:751
0.7278,3.6583,8.7628,-36.12,-12.48,-8.28,102.93,-17.67,-4.92,5297,2018-07-07 14:53:46:774
0.7278,3.6583,8.7628,-36.12,-12.48,-8.28,102.93,-17.67,-4.92,5321,2018-07-07 14:53:46:798
0.7278,3.6583,8.7628,-36.12,-12.48,-8.28,102.93,-17.67,-4.92,5346,2018-07-07 14:53:46:823
0.7278,3.6583,8.7628,-35.1,-12.66,-8.22,102.88,-22.59,-4.75,5370,2018-07-07 14:53:46:847
