sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.1006;10.8748;6.6345;1.0615;9.1395;3.3932;-0.6737;2.6308;0.7345;-0.3035;0.0626;0.0342;924.0;28.98;-22.8;4.14;232.99;-68.74;-17.37;3.1;993.64;44.432;23.024729;72.53794;29.87;164.76099270450496;;3.54;19.35484;211.58;14 / 19;22;2018-06-11 15:42:55:545
1.1732;11.7846;7.6329;0.9943;9.2474;3.1092;-0.0271;2.2116;1.5621;1.0227;-0.3363;-0.4032;296.0;31.2;-21.24;2.46;236.22;-68.22;-19.42;3.1;993.63;41.804;23.024729;72.53794;29.87;164.76099270450496;;3.54;19.35484;211.58;14 / 19;522;2018-06-11 15:42:56:045
1.2618;12.534;3.091;1.1282;9.5672;1.8344;0.7082;2.9404;-0.4026;-0.5619;0.3863;0.1772;173.0;30.36;-18.84;0.6;230.91;-77.31;-31.59;3.1;993.61;42.094;23.02466;72.537895;29.87;164.76099270450496;;1.64;19.35484;197.8;14 / 19;1023;2018-06-11 15:42:56:546
-0.2155;13.2834;1.6568;0.7193;9.6943;1.2932;-0.6642;3.2922;0.2535;0.5578;0.0571;-0.515;125.0;28.62;-22.32;2.1;232.09;-81.32;-29.08;3.1;993.61;41.066;23.02466;72.537895;29.87;164.76099270450496;;1.64;19.35484;197.8;14 / 19;1521;2018-06-11 15:42:57:044
-1.2331;13.4319;4.7311;0.4373;9.5226;2.3021;0.2355;0.5645;0.1999;-0.039;0.0901;-0.3671;94.0;30.96;-22.02;-2.7;255.52;-76.18;-10.76;3.1;993.61;41.499;23.02466;72.537895;29.87;164.76099270450496;;1.64;19.35484;197.8;0 / 19;2021;2018-06-11 15:42:57:544
1.5682;11.2148;2.2267;1.1605;9.3758;2.63;0.1803;1.1829;-0.8894;0.5334;0.1395;-0.1313;106.0;29.7;-25.62;-1.44;236.65;-72.95;-23.81;3.1;993.61;43.646;23.02466;72.537895;29.87;164.76099270450496;;1.64;19.35484;197.8;0 / 19;2521;2018-06-11 15:42:58:044
1.0846;9.6106;1.3216;0.7536;9.4058;2.6706;-0.0616;-0.5183;-1.8302;0.5425;0.0656;-0.2456;86.0;32.82;-22.32;-2.4;248.12;-73.56;-15.76;3.1;993.6;42.776;23.02466;72.537895;29.87;164.76099270450496;;1.64;19.35484;197.8;0 / 20;3025;2018-06-11 15:42:58:548
0.8811;7.8676;0.8787;0.7307;9.4819;2.3937;0.1504;-1.6143;-1.515;-0.028;0.1597;0.1405;69.0;32.58;-19.5;-0.3;245.83;-75.21;-16.97;3.1;993.59;42.51;23.02466;72.537895;29.87;164.76099270450496;;1.64;19.35484;197.8;0 / 20;3522;2018-06-11 15:42:59:045
0.6034;6.9195;1.7167;0.6391;9.4691;2.4693;-0.0358;-2.5497;-0.7527;0.4998;-0.1066;-0.1863;56.0;33.06;-16.14;0.3;248.35;-74.53;-15.25;3.1;993.59;41.023;23.02466;72.537895;29.87;164.76099270450496;;1.64;19.35484;197.8;0 / 18;4022;2018-06-11 15:42:59:545
0.5435;7.3145;0.1844;0.5547;9.4966;2.3827;-0.0112;-2.1821;-2.1984;0.1412;0.2336;-0.0373;65.0;30.3;-17.88;5.28;240.65;-75.55;-13.1;3.1;993.58;41.667;23.02466;72.537895;29.87;164.76099270450496;;1.64;19.35484;197.8;0 / 18;4522;2018-06-11 15:43:00:045
