sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.826;10.7455;4.1948;0.3708;8.966;3.9551;0.1966;1.8896;0.6131;0.0068;-0.0782;0.1588;5552.0;-34.44;-30.78;9.78;120.16;-65.37;-3.56;8.0;996.41;46.04;23.03192;72.536674;-7.29;NaN;;4.07;6.451613;180.77;19 / 23;22;2018-06-12 12:14:32:574
1.6904;9.6944;3.7327;0.518;8.9501;3.9747;1.0622;0.208;-0.6131;0.0734;0.135;-0.0476;4642.0;-35.34;-29.64;9.54;115.52;-65.87;-7.43;8.0;996.43;46.366;23.03192;72.536674;-7.29;NaN;;4.07;6.451613;180.77;18 / 21;521;2018-06-12 12:14:33:073
0.5579;8.1262;2.9306;0.2737;8.8516;4.2125;0.0926;-1.6903;-1.5668;-0.1465;0.2639;0.0373;4047.0;-37.14;-30.0;5.22;112.27;-64.5;-3.72;8.0;996.41;46.737;23.03192;72.536674;-7.29;NaN;;4.07;6.451613;180.77;18 / 21;1021;2018-06-12 12:14:33:573
0.5459;6.0024;1.4246;0.2167;8.9145;4.0811;-0.9829;-1.2839;0.4776;0.06;-0.2529;0.1564;3108.0;-36.3;-29.1;5.76;113.54;-65.37;-3.04;8.0;996.42;46.88;23.03192;72.536674;-7.29;NaN;;4.07;6.451613;180.77;19 / 22;1522;2018-06-12 12:14:34:074
0.1173;6.8069;5.9977;0.8118;8.8062;4.2382;-0.6945;-1.9993;1.7595;-0.4922;0.3549;0.3995;2824.0;-37.8;-26.16;4.08;102.66;-63.89;-10.84;8.0;996.42;46.622;23.03192;72.536674;-7.29;NaN;;4.07;6.451613;180.77;19 / 22;2021;2018-06-12 12:14:34:573
2.2219;7.2379;4.3312;1.1558;8.846;4.0723;1.0661;-1.6081;0.259;0.2109;-0.8345;0.1319;2605.0;-38.64;-27.06;6.54;101.64;-64.43;-15.84;8.0;996.41;46.928;23.03192;72.536674;-7.29;NaN;;4.07;6.451613;180.77;18 / 21;2522;2018-06-12 12:14:35:074
0.7159;11.471;2.7103;1.0604;9.2057;3.2094;0.97;2.4137;-2.0625;0.1632;-0.2395;-0.2388;2658.0;-37.14;-26.4;10.68;101.53;-69.84;-18.28;8.0;996.41;47.383;23.03192;72.536674;-7.29;NaN;;4.07;6.451613;180.77;18 / 21;3022;2018-06-12 12:14:35:574
0.3496;10.8413;4.5946;0.6888;9.1831;3.3713;0.1539;0.6981;0.3996;0.0252;-0.19;0.1765;2627.0;-38.22;-26.04;6.42;101.05;-69.46;-11.55;8.0;996.41;47.047;23.03192;72.536674;-7.29;NaN;;4.07;6.451613;180.77;17 / 21;3521;2018-06-12 12:14:36:073
1.0774;9.1629;3.2634;0.4476;9.1859;3.4043;0.6299;-0.023;-0.1409;0.1968;0.452;0.047;2408.0;-38.7;-25.5;3.42;99.84;-69.5;-7.49;8.0;996.41;50.736;23.03192;72.536674;-7.29;NaN;;4.07;6.451613;180.77;17 / 21;4021;2018-06-12 12:14:36:573
0.4429;7.008;2.2865;-0.0629;9.1439;3.5434;0.5059;-2.1358;-1.2569;-0.02;0.5748;0.1405;2003.0;-38.4;-24.6;-4.2;98.86;-68.81;1.02;8.0;996.42;47.495;23.03192;72.536674;-7.29;NaN;;4.07;6.451613;180.77;17 / 20;4521;2018-06-12 12:14:37:073
-0.9146;7.6425;3.0838;-0.1828;9.128;3.58;-0.8898;-1.3155;0.9931;-0.1703;0.4459;0.0898;1783.0;-37.62;-21.54;-12.72;86.68;-68.56;2.92;8.0;996.41;48.04;23.03192;72.536674;-7.29;NaN;;4.07;6.451613;180.77;17 / 20;5022;2018-06-12 12:14:37:574
-0.6919;8.6912;1.7023;-0.7964;9.1051;3.5544;-2.5412;1.2598;6.3986;0.3483;0.5186;0.474;1775.0;-30.78;-16.5;-28.92;69.01;-68.2;12.63;8.0;996.4;48.205;23.03192;72.536674;-7.29;NaN;;4.07;6.451613;180.77;18 / 21;5521;2018-06-12 12:14:38:073
