sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.6704;10.7527;2.8372;0.0529;9.4259;2.7056;-0.9005;1.9733;2.3918;-0.6578;-0.0651;0.1668;7186.0;35.94;-27.24;2.82;252.97;-73.98;-1.12;3.1;993.62;49.687;23.024748;72.53805;29.96;164.76099270450496;;3.16;19.35484;318.27;18 / 21;17;2018-06-11 15:42:43:580
-1.8196;10.9466;6.3688;0.3597;9.4212;2.6983;-1.4371;1.681;4.3959;-0.0231;0.3668;-0.0941;7841.0;32.46;-30.84;9.0;235.18;-73.88;-7.59;3.1;993.65;50.013;23.024748;72.53805;29.96;164.76099270450496;;3.16;19.35484;318.27;18 / 21;517;2018-06-11 15:42:44:080
-0.0455;13.111;3.431;0.5973;9.6322;1.7419;0.9063;2.3943;-1.5624;-0.1789;-0.2758;-0.0085;5902.0;27.96;-30.18;17.7;213.43;-79.18;-18.93;3.1;993.64;48.458;23.024748;72.53805;29.96;164.76099270450496;;3.16;19.35484;318.27;17 / 19;1017;2018-06-11 15:42:44:580
1.6497;12.8932;1.0918;0.8598;9.6756;1.3465;0.4882;1.8959;1.4093;0.5028;0.4596;-0.1576;3207.0;18.9;-30.18;26.04;183.16;-80.62;-32.56;3.1;993.64;48.315;23.024748;72.53805;29.96;164.76099270450496;;3.16;19.35484;318.27;17 / 19;1517;2018-06-11 15:42:45:080
2.1189;12.0169;2.0136;0.6755;9.7163;1.1433;1.4435;2.3006;0.8703;-0.1416;0.2049;0.3213;2903.0;10.92;-30.6;32.94;169.07;-82.22;-30.57;3.1;993.63;47.02;23.024748;72.53805;29.96;164.76099270450496;;3.16;19.35484;318.27;16 / 19;2017;2018-06-11 15:42:45:580
1.2331;11.1358;1.2187;0.529;9.7696;0.6672;0.7041;1.3662;0.5514;-0.3041;-0.1421;0.1686;2812.0;5.52;-28.38;37.8;152.17;-85.02;-38.41;3.1;993.62;47.165;23.024748;72.53805;29.96;164.76099270450496;;3.16;19.35484;318.27;16 / 19;2517;2018-06-11 15:42:46:080
1.1205;9.9578;0.3927;0.3779;9.7559;0.9216;0.7426;0.2019;-0.529;0.4033;0.1041;-0.2278;2642.0;9.06;-31.14;34.14;173.11;-84.17;-22.29;3.1;993.62;47.431;23.024748;72.53805;29.96;164.76099270450496;;3.16;19.35484;318.27;18 / 22;3020;2018-06-11 15:42:46:583
0.9793;9.0288;1.8388;0.3603;9.6838;1.5049;0.753;-1.1793;-0.9039;-0.0903;0.1365;0.1802;2453.0;7.5;-33.3;31.56;180.5;-80.92;-13.47;3.1;993.61;54.287;23.024748;72.53805;29.96;164.76099270450496;;3.16;19.35484;318.27;18 / 22;3517;2018-06-11 15:42:47:080
1.0726;6.8333;0.4669;0.3552;9.7236;1.2227;-0.767;-3.0005;-0.1213;0.0569;0.1634;0.3763;2379.0;7.68;-31.26;31.38;178.45;-82.54;-16.2;3.1;993.61;51.972;23.024729;72.53794;29.87;164.76099270450496;;3.54;19.35484;211.58;18 / 20;4017;2018-06-11 15:42:47:580
0.9026;7.4558;0.1269;0.4002;9.6756;1.5471;0.6557;-1.6021;-1.2597;0.0587;-0.0388;0.1283;2358.0;4.86;-31.8;30.84;177.95;-80.35;-11.53;3.1;993.61;47.76;23.024729;72.53794;29.87;164.76099270450496;;3.54;19.35484;211.58;18 / 20;4517;2018-06-11 15:42:48:080
0.0527;6.4047;1.008;0.0981;9.7508;1.04;0.139;-3.3605;-0.6258;-0.05;0.1176;0.1411;1980.0;7.8;-30.0;32.88;194.97;-85.53;2.32;3.1;993.6;49.241;23.024729;72.53794;29.87;164.76099270450496;;3.54;19.35484;211.58;18 / 22;5017;2018-06-11 15:42:48:580
0.1868;6.2802;2.0567;-0.1452;9.6543;1.7155;0.3319;-3.3742;0.3412;-1.3072;-0.4041;0.7257;1676.0;7.62;-31.74;31.98;196.36;-79.89;4.84;3.1;993.61;44.282;23.024729;72.53794;29.87;164.76099270450496;;3.54;19.35484;211.58;18 / 22;5517;2018-06-11 15:42:49:080
1.1325;9.443;2.5547;0.1881;9.6401;1.7898;0.9443;-0.1971;0.7649;-0.3835;0.2324;-0.2028;1336.0;11.64;-33.18;28.38;194.57;-79.43;-6.0;3.1;993.62;43.263;23.024729;72.53794;29.87;164.76099270450496;;3.54;19.35484;211.58;17 / 19;6017;2018-06-11 15:42:49:580
-1.1014;10.7072;5.3344;0.1586;9.7327;1.1914;-1.26;0.9745;4.143;0.8211;0.4786;0.1344;1232.0;10.2;-32.1;30.0;189.72;-82.96;-7.58;3.1;993.63;43.639;23.024729;72.53794;29.87;164.76099270450496;;3.54;19.35484;211.58;17 / 19;6517;2018-06-11 15:42:50:080
0.1197;11.8086;1.7454;0.5907;9.57;2.0581;-0.6482;2.5139;2.424;0.9885;-0.4652;-0.4471;1377.0;11.1;-32.64;28.56;183.94;-77.39;-16.01;3.1;993.62;43.653;23.024729;72.53794;29.87;164.76099270450496;;3.54;19.35484;211.58;16 / 17;7017;2018-06-11 15:42:50:580
1.087;12.2539;2.0854;0.2473;9.6915;1.4779;0.9044;0.2208;-1.0733;0.3092;-0.0401;0.047;1696.0;19.02;-29.34;25.92;203.73;-81.21;-9.5;3.1;993.62;43.585;23.024729;72.53794;29.87;164.76099270450496;;3.54;19.35484;211.58;16 / 17;7517;2018-06-11 15:42:51:080
0.0311;10.5635;0.4836;0.6765;9.6866;1.3719;-0.6454;0.8769;-0.8883;0.1009;-0.5055;-0.0464;1926.0;21.84;-29.76;22.38;196.0;-80.48;-26.69;3.1;993.63;43.395;23.024729;72.53794;29.87;164.76099270450496;;3.54;19.35484;211.58;14 / 18;8017;2018-06-11 15:42:51:580
0.6943;7.0296;0.7494;0.8625;9.728;0.8904;-0.7308;-3.0072;0.132;-0.1642;-0.4561;0.1619;1604.0;29.94;-26.82;12.96;200.53;-82.74;-44.09;3.1;993.62;43.961;23.024729;72.53794;29.87;164.76099270450496;;3.54;19.35484;211.58;14 / 18;8517;2018-06-11 15:42:52:080
0.2322;7.2714;1.3408;0.3401;9.4905;2.4465;-0.5939;-2.3627;-0.5095;-0.3218;-0.387;0.1185;1340.0;30.9;-27.06;6.42;240.82;-75.41;-7.91;3.1;993.62;43.172;23.024729;72.53794;29.87;164.76099270450496;;3.54;19.35484;211.58;14 / 18;9017;2018-06-11 15:42:52:580
0.2586;7.9274;2.6792;0.3838;9.425;2.6818;-0.0654;-0.8798;0.2345;-0.4287;-0.1036;-0.2578;1219.0;31.62;-26.22;4.74;242.24;-73.96;-8.15;3.1;993.62;42.623;23.024729;72.53794;29.87;164.76099270450496;;3.54;19.35484;211.58;14 / 18;9518;2018-06-11 15:42:53:081
