sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.9298;7.7096;4.1253;1.0776;9.4103;2.5407;-0.9196;-1.6433;-0.958;-0.1819;0.948;0.4026;2675.0;26.58;-15.9;-34.02;292.01;-73.66;-22.98;8.0;996.09;55.35;23.03118;72.53861;9.17;175.91839429626737;;2.45;6.451613;314.91;0 / 0;31;2018-06-12 12:20:07:947
-0.6465;11.1118;5.8468;0.8907;9.5423;2.0786;0.0454;2.4362;2.3963;0.4699;0.1869;-0.5522;1919.0;27.54;-18.6;-27.24;283.95;-76.67;-23.2;8.0;996.1;52.265;23.03118;72.53861;9.17;175.91839429626737;;2.45;6.451613;314.91;0 / 1;532;2018-06-12 12:20:08:448
-0.3136;12.4454;2.7055;0.6072;9.6562;1.5997;-0.6622;2.8443;2.1258;-0.1471;-0.1613;0.0165;1417.0;29.94;-19.32;-24.24;282.78;-79.95;-20.78;8.0;996.11;54.975;23.031;72.538376;;175.91839429626737;;;206.77419;;0 / 1;1032;2018-06-12 12:20:08:948
1.1014;11.0472;2.7223;0.4278;9.6486;1.7006;0.3671;0.8479;1.0456;0.137;-0.0294;0.0617;1498.0;31.62;-19.56;-20.7;283.65;-79.7;-14.12;8.0;996.1;55.727;23.031;72.538376;;NaN;;;206.77419;;0 / 1;1532;2018-06-12 12:20:09:448
0.5986;7.6976;0.0886;0.2033;9.663;1.6597;0.5341;-2.6478;-1.8009;-0.0542;-0.1821;0.0831;1529.0;29.76;-18.3;-24.42;297.21;-80.18;-6.99;8.0;996.1;54.39;23.031;72.538376;;NaN;;;206.77419;;0 / 10;2031;2018-06-12 12:20:09:947
0.8763;6.9171;-0.7255;0.3599;9.6684;1.6006;0.5164;-2.7514;-2.3261;0.1773;0.1551;-0.0452;1571.0;29.1;-19.02;-23.88;292.11;-80.37;-12.67;8.0;996.12;55.291;23.031;72.538376;;NaN;;;206.77419;;0 / 10;2531;2018-06-12 12:20:10:447
-0.6488;7.1661;0.3639;-0.3598;9.7704;0.7617;-0.4232;-2.4271;0.7706;0.3727;0.0641;-0.0977;1150.0;29.28;-19.56;-23.28;332.38;-85.07;25.28;8.0;996.13;55.252;23.031153;72.537636;51.01;NaN;;3.16;103.22581;309.73;9 / 10;3031;2018-06-12 12:20:10:947
-0.0958;9.218;-1.4414;0.2916;9.7531;0.9813;-0.3874;-0.5351;-2.4227;0.3679;-0.6268;0.0739;1065.0;29.28;-20.76;-22.8;288.54;-84.01;-16.55;8.0;996.13;53.19;23.031153;72.537636;51.01;NaN;;3.16;103.22581;309.73;9 / 10;3531;2018-06-12 12:20:11:447
-0.0239;11.107;5.356;1.0771;9.5532;1.9353;0.9508;2.4301;1.9674;-0.2858;-0.2273;-0.2731;1051.0;25.44;-19.92;-27.12;280.72;-76.95;-29.1;8.0;996.14;54.292;23.031153;72.537636;51.01;NaN;;3.16;103.22581;309.73;0 / 10;4031;2018-06-12 12:20:11:947
0.5028;13.4127;2.6648;0.4208;9.7227;1.2087;0.6494;3.3452;-0.0667;0.0129;0.1179;-0.223;1024.0;27.0;-21.36;-25.92;290.61;-82.5;-19.2;8.0;996.16;54.824;23.031153;72.537636;51.01;NaN;;3.16;103.22581;309.73;0 / 10;4532;2018-06-12 12:20:12:448
