sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.5315;10.2044;7.8843;0.3896;8.0183;5.6325;-0.2771;1.439;1.3468;1.2261;0.1814;-0.2028;4385.0;12.54;-38.82;12.96;199.66;-54.85;-3.96;8.0;996.31;58.58;23.031927;72.53537;153.98;NaN;;1.67;154.8387;158.72;7 / 7;79;2018-06-12 12:08:27:721
0.8979;10.0464;2.423;0.4135;9.1095;3.6079;0.4867;-0.1716;-0.0141;0.8529;0.0885;-0.2853;3073.0;15.72;-33.9;21.96;201.16;-68.27;-6.54;8.0;996.31;59.649;23.031927;72.53537;153.98;NaN;;1.67;154.8387;158.72;7 / 7;579;2018-06-12 12:08:28:221
0.4597;7.7;0.4118;0.3023;9.3907;2.8097;0.1072;-2.2773;-1.8687;0.2805;-0.1576;0.0165;2907.0;14.52;-33.06;25.68;198.72;-73.25;-6.14;8.0;996.31;55.581;23.031927;72.53537;153.98;NaN;;1.67;154.8387;158.72;10 / 10;1080;2018-06-12 12:08:28:722
0.3711;4.3312;-0.577;0.1879;9.6153;1.9186;0.1833;-5.284;-2.4956;0.363;0.0189;0.1032;2761.0;18.84;-30.3;26.7;205.54;-78.66;-5.59;8.0;996.28;52.233;23.031927;72.53537;153.98;NaN;;1.67;154.8387;158.72;10 / 10;1579;2018-06-12 12:08:29:221
-0.5579;7.8389;-0.5243;-0.2196;9.5263;2.3176;-0.3382;-1.6875;-2.8419;-0.3731;0.182;0.193;3732.0;14.82;-30.54;27.96;207.99;-76.27;5.41;8.0;996.28;53.169;23.031927;72.53537;153.98;NaN;;1.67;154.8387;158.72;10 / 12;2079;2018-06-12 12:08:29:721
0.1125;9.1509;4.2163;0.0268;9.5585;2.1918;0.0858;-0.4076;2.0245;0.1663;-0.3873;0.0434;3183.0;16.68;-30.72;28.14;205.82;-77.08;-0.7;8.0;996.31;54.365;23.031927;72.53537;153.98;NaN;;1.67;154.8387;158.72;10 / 12;2580;2018-06-12 12:08:30:222
2.2386;13.4965;1.3408;0.2134;9.6223;1.8803;-0.0338;3.4744;1.0384;-0.2033;0.3408;0.2034;2907.0;15.78;-30.42;28.86;199.41;-78.87;-6.47;8.0;996.29;52.131;23.031927;72.53537;153.98;NaN;;1.67;154.8387;158.72;10 / 14;3080;2018-06-12 12:08:30:722
1.8244;11.5189;1.8723;0.0658;9.6974;1.4583;0.2215;2.3985;-0.9077;-0.2491;-0.3916;0.4184;4195.0;12.36;-29.04;30.72;196.62;-81.44;-2.58;8.0;996.3;54.434;23.031927;72.53537;153.98;NaN;;1.67;154.8387;158.72;10 / 14;3580;2018-06-12 12:08:31:222
1.5802;11.2675;2.5906;0.4496;9.3338;2.9747;1.1306;1.9337;-0.3841;-0.56;0.3958;-0.0031;4018.0;12.84;-34.2;25.74;193.71;-72.13;-8.6;8.0;996.31;53.564;23.031927;72.53537;153.98;NaN;;1.67;154.8387;158.72;10 / 17;4080;2018-06-12 12:08:31:722
0.601;7.8269;3.9051;0.3083;8.7582;4.4011;0.137;-0.3566;0.2916;-0.2674;-0.0758;-0.0929;4051.0;15.12;-36.12;19.44;202.65;-64.29;-3.09;8.0;996.32;52.327;23.031927;72.53537;153.98;NaN;;1.67;154.8387;158.72;10 / 17;4579;2018-06-12 12:08:32:221
