ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,OUT
0.864,9.493,2.612,0.605,9.116,3.565,0.257,0.377,-0.876,-0.123,0.134,-0.007,56,1,-34.7,18.3,176,-68.4,-9.8,3,1000,41.35,,,,NaN,,,,,0 / 0,36,2018-08-27 12:44:16:910,0.19
1.034,9.577,2.895,0.568,9.14,3.509,0.873,0.193,-0.691,0.104,0.079,-0.182,56,0.7,-35.2,18.6,176.2,-68.5,-9.2,3,1000,41.35,,,,NaN,,,,,0 / 0,136,2018-08-27 12:44:17:010,0.19
0.383,9.869,2.957,0.538,9.21,3.325,-0.104,0.53,-0.201,0.123,-0.003,-0.296,56,2.5,-34.2,19.3,177.6,-69.6,-9.8,3,1000,41.35,,,,NaN,,,,,0 / 0,235,2018-08-27 12:44:17:109,0.19
0.39,9.369,4.856,0.409,9.222,3.31,0.173,0.14,1.34,0.077,0.021,-0.162,55,3.3,-35.1,19.3,180.9,-70.4,-7.6,3,1000,49.04,,,,NaN,,,,,0 / 0,335,2018-08-27 12:44:17:209,0.19
-0.237,8.892,4.578,0.263,9.23,3.304,-0.404,-0.378,1.379,0.223,0.093,-0.04,55,3.6,-34.9,19.4,184.4,-70.5,-5.2,3,1000,49.04,,,,NaN,,,,,0 / 0,435,2018-08-27 12:44:17:309,0.19
0.275,8.706,3.764,0.29,9.19,3.411,0.217,-0.443,-0.303,-0.154,0.188,0.127,51,3.9,-33.7,19.2,184.8,-69.7,-4.5,3,1000,49.04,,,,NaN,,,,,0 / 0,536,2018-08-27 12:44:17:410,0.19
0.658,9.146,3.374,0.37,9.148,3.514,0.131,0.104,0.173,-0.03,-0.094,0.067,51,4,-34,19.1,184.7,-69.1,-5,3,1000,49.76,,,,NaN,,,,,0 / 0,635,2018-08-27 12:44:17:509,0.19
-0.232,9.287,2.425,0.354,9.158,3.491,-0.612,0.163,-0.802,0.053,-0.025,0.065,47,2.9,-33.9,20.3,181.8,-68.8,-5.7,3,1000,49.76,,,,NaN,,,,,0 / 0,735,2018-08-27 12:44:17:609,0.19
0.151,8.962,3.589,0.304,9.189,3.411,-0.108,-0.287,0.458,0.186,0.062,-0.048,47,1.9,-34.5,21.5,180.3,-69.2,-5.3,3,1000,49.76,,,,NaN,,,,,0 / 0,835,2018-08-27 12:44:17:709,0.19
0.139,9.28,3.283,0.219,9.262,3.214,-0.03,0.003,-0.02,0.181,-0.109,-0.076,48,1.9,-33.6,20.9,181,-70.6,-4,3,1000,64.17,,,,NaN,,,,,0 / 0,936,2018-08-27 12:44:17:810,0.19
-0.069,9,3.594,0.226,9.315,3.057,-0.336,-0.138,0.13,0.142,0.088,0.049,48,2.8,-33.1,19.9,183.1,-71.5,-3.9,3,1000,64.17,,,,NaN,,,,,0 / 0,1035,2018-08-27 12:44:17:909,0.19
1.25,8.418,3.409,0.316,9.364,2.895,0.093,-0.237,-0.191,-0.209,0.162,0.368,45,2,-32.5,23,179.8,-72.7,-5.2,3,1000,64.17,,,,NaN,,,,,0 / 0,1135,2018-08-27 12:44:18:009,0.19
0.438,8.684,4.034,0.434,9.284,3.128,-0.285,-0.624,1.088,0.005,-0.544,0.064,44,1.9,-33.1,21.1,178.5,-71.7,-7.5,3,1000,64.17,,,,NaN,,,,,0 / 0,1235,2018-08-27 12:44:18:109,0.19
-0.697,10.168,4.398,0.415,9.094,3.647,-1.112,1.075,0.751,-1.566,0.722,0.181,44,1.3,-33.3,20.9,178.4,-69.5,-7.8,3,1000,56.8,,,,NaN,,,,,0 / 0,1336,2018-08-27 12:44:18:210,0.19
-0.024,8.073,5.612,0.447,8.694,4.516,-0.468,-0.804,1.357,0.159,0.465,0.345,43,-0.4,-35.7,18.1,178.4,-64.6,-5.8,3,1000,56.8,,,,NaN,,,,,0 / 0,1436,2018-08-27 12:44:18:310,0.19
-0.716,9.23,4.908,0.293,8.845,4.226,-0.918,0.294,0.256,0.207,0.865,-0.03,43,-2.5,-35.5,17.9,173.4,-64.1,-5.3,3,1000,56.8,,,,NaN,,,,,0 / 0,1536,2018-08-27 12:44:18:410,0.19
0.093,9.536,4.477,0.165,8.874,4.171,-0.273,0.847,-0.111,-0.221,1.145,0.754,55,-4,-34.9,17.7,171.5,-65,-2.1,3,1000,52.04,,,,NaN,,,,,0 / 0,1635,2018-08-27 12:44:18:509,0.19
1.106,8.243,4.305,0.359,8.78,4.353,0.596,-0.35,0.121,0.05,1.379,0.972,55,-8.4,-35.5,17.4,163,-63.7,-4.2,3,1000,52.04,,,,NaN,,,,,0 / 0,1735,2018-08-27 12:44:18:609,0.19
1.506,7.485,4.681,0.625,8.721,4.442,0.905,-1.109,0.339,-0.092,2.011,1.003,44,-14.9,-33.2,16.4,151,-63.5,-6.9,3,1000,52.04,,,,NaN,,,,,0 / 0,1835,2018-08-27 12:44:18:709,0.19
-1.171,7.961,5.05,0.379,8.61,4.68,-1.569,-0.62,0.394,-0.25,2.247,1.264,44,-20.3,-32.6,11.3,138.6,-61.8,-5,3,1000,56.09,,,,NaN,,,,,0 / 0,1936,2018-08-27 12:44:18:810,0.19
-0.931,8.126,6.417,0.024,8.361,5.124,-0.955,-0.235,1.293,-0.394,1.881,1.025,38,-26,-30.5,4.7,128.5,-59.7,-2.1,3,1000,56.09,,,,NaN,,,,,0 / 0,2035,2018-08-27 12:44:18:909,0.19
-0.903,7.997,6.759,-0.324,8.148,5.448,-0.579,-0.151,1.311,0.118,1.801,0.879,198,-28.8,-28,-0.4,120,-56.2,2.7,3,1000,56.09,,,,NaN,,,,,0 / 0,2135,2018-08-27 12:44:19:009,0.19
-0.357,8.179,5.44,-0.439,8.226,5.32,0.083,-0.047,0.119,0.083,1.267,0.967,198,-30.2,-25,-5.6,111.1,-56.7,4.9,3,1000,50.45,,,,NaN,,,,,0 / 0,2235,2018-08-27 12:44:19:109,0.19
-0.464,8.603,5.16,-0.372,8.372,5.093,0.03,0.324,-0.063,0.148,1.008,0.826,177,-30.7,-23.4,-10.1,104,-57.6,4.6,3,1000,50.45,,,,NaN,,,,,0 / 0,2336,2018-08-27 12:44:19:210,0.19
-0.086,8.521,4.224,-0.154,8.481,4.921,0.065,-0.024,-0.753,0.276,0.89,0.638,177,-31.2,-20.5,-12.8,90.8,-59.5,2.2,3,1000,50.45,,,,NaN,,,,,0 / 0,2435,2018-08-27 12:44:19:309,0.19
0.63,9.038,3.795,-0.042,8.594,4.724,0.852,0.471,-0.771,0.157,0.669,0.336,159,-32,-19.4,-15.1,88.2,-60.7,1.1,3,1000,50.45,,,,NaN,,,,,0 / 0,2535,2018-08-27 12:44:19:409,0.19
1.324,8.504,4.743,-0.034,8.734,4.459,0.966,-0.553,0.217,0.435,0.56,0.267,159,-31.9,-18.4,-16.5,81.6,-61.9,0.8,3,1000,54.43,,,,NaN,,,,,0 / 0,2636,2018-08-27 12:44:19:510,0.19
0.441,8.921,6.002,0.082,8.858,4.207,0.359,0.063,1.796,0.009,1.096,0.343,147,-31.2,-18.2,-18.9,72,-64.6,-1,3,1000,54.43,,,,NaN,,,,,0 / 0,2735,2018-08-27 12:44:19:609,0.19
0.692,8.399,3.56,0.174,8.861,4.198,0.446,-0.33,-0.583,-0.1,0.587,0.35,147,-30.5,-16.9,-21.7,64.9,-64.8,-2.1,3,1000,54.43,,,,NaN,,,,,0 / 0,2835,2018-08-27 12:44:19:709,0.19
-0.256,9.498,4.142,0.161,8.858,4.205,-0.384,0.379,-0.09,-0.015,0.818,0.457,107,-29.6,-16,-23.7,63.1,-64.4,-2.6,3,1000,52.04,,,,NaN,,,,,0 / 0,2935,2018-08-27 12:44:19:809,0.19
0.764,8.442,5.105,0.327,8.802,4.311,0.447,-0.37,0.829,-0.039,0.708,0.471,189,-29.9,-14.5,-25.4,57.9,-63.9,-4,3,1000,52.04,,,,NaN,,,,,0 / 0,3036,2018-08-27 12:44:19:910,0.19
0.797,9.199,3.596,0.342,8.837,4.237,0.472,0.268,-0.62,0.159,0.771,0.244,189,-27.8,-12.9,-25.7,52.6,-64.2,-4.7,3,1000,52.04,,,,NaN,,,,,0 / 0,3135,2018-08-27 12:44:20:009,0.19
0.34,9.649,4.075,0.17,8.911,4.092,0.144,0.738,-0.026,0.174,0.935,0.2,207,-26.9,-13.4,-27.9,51.6,-65,-3.3,3,1000,59.81,,,,NaN,,,,,0 / 0,3235,2018-08-27 12:44:20:109,0.19
-0.096,9.342,3.895,-0.058,8.988,3.922,-0.119,0.333,0.54,0.309,0.782,0.143,207,-24.5,-13.3,-30.6,47.8,-65.9,-0.7,3,1000,59.81,,,,NaN,,,,,0 / 0,3335,2018-08-27 12:44:20:209,0.19
-0.007,8.236,4.705,-0.095,9.039,3.803,0.095,-0.793,1.182,0.035,0.446,0.223,222,-22,-13.1,-32.6,42.7,-67.1,1.6,3,1000,59.81,,,,NaN,,,,,0 / 0,3435,2018-08-27 12:44:20:309,0.19
0.16,8.603,4.295,-0.073,8.991,3.916,0.068,-0.47,0.547,0.042,0.038,0.061,222,-19.7,-13.9,-34.5,41.3,-66.7,1.3,3,1000,53.26,,,,NaN,,,,,0 / 0,3535,2018-08-27 12:44:20:409,0.19
0.35,9.292,4.006,0.003,9.043,3.795,0.282,0.391,0.108,-0.082,-0.318,0.191,241,-20.2,-13.5,-35.1,37.4,-67.1,1,3,1000,53.26,,,,NaN,,,,,0 / 0,3636,2018-08-27 12:44:20:510,0.19
0.127,9.302,4.121,0.215,8.989,3.914,-0.254,0.174,1.473,-0.427,-0.549,-0.184,241,-21.8,-12.7,-35.6,34.7,-67,-2.6,3,1000,53.26,,,,NaN,,,,,0 / 0,3736,2018-08-27 12:44:20:610,0.19
0.8,9.704,4.7,0.342,9.057,3.745,0.286,0.858,0.615,-0.017,-1.562,-0.289,231,-24.8,-13.5,-31.6,40.2,-67.4,-4.8,3,1000,56.03,,,,NaN,,,,,0 / 0,3836,2018-08-27 12:44:20:710,0.19
1.235,9.479,3.991,0.653,9.125,3.534,0.899,-0.012,0.297,0.776,-1.339,-0.804,140,-30,-15.1,-27.1,44.9,-67.4,-9.4,3,1000,56.03,,,,NaN,,,,,0 / 0,3936,2018-08-27 12:44:20:810,0.19
0.747,10.233,3.357,0.806,9.223,3.233,0.286,0.201,0.22,-0.357,-2.954,-0.877,140,-32.8,-18.3,-22.2,50.9,-70.2,-11.9,3,1000,56.03,,,,NaN,,,,,0 / 0,4036,2018-08-27 12:44:20:910,0.19
1.863,7.59,4.444,1.173,9.163,3.291,0.738,-1.937,1.826,-0.039,-2.561,-0.742,42,-37.1,-20.2,-10.4,68,-69.3,-18.6,3,1000,56.03,,,,NaN,,,,,0 / 0,4135,2018-08-27 12:44:21:009,0.19
2.433,8.205,4.14,1.436,9.091,3.385,1.001,-0.853,0.647,-0.143,-2.266,-0.772,42,-36.2,-23.2,-1.8,77,-68.5,-21.4,3,1000,57.54,,,,NaN,,,,,0 / 0,4235,2018-08-27 12:44:21:109,0.19
1.887,8.586,4.271,1.525,9.072,3.397,0.362,-0.484,0.92,-0.107,-1.993,-0.772,49,-34,-26.2,5.3,90.6,-67.6,-23.6,3,1000,57.54,,,,NaN,,,,,0 / 0,4335,2018-08-27 12:44:21:209,0.19
1.027,8.947,4.02,1.412,9.102,3.366,-0.397,-0.25,0.613,-0.075,-1.416,-0.741,49,-30,-28.2,11.1,104.5,-67.9,-23.4,3,1000,57.54,,,,NaN,,,,,0 / 0,4436,2018-08-27 12:44:21:310,0.19
1.283,8.773,3.924,1.215,9.111,3.417,0.068,-0.339,0.507,-0.199,-1.473,-0.775,51,-25,-29.3,13.3,116,-68.4,-20.8,3,1000,52.83,,,,NaN,,,,,0 / 0,4535,2018-08-27 12:44:21:409,0.19
-0.136,9.489,3.357,0.978,9.185,3.294,-1.114,0.304,0.063,-0.064,-1.198,-0.476,51,-20.4,-31.2,16.5,130.7,-69.4,-16.9,3,1000,52.83,,,,NaN,,,,,0 / 0,4635,2018-08-27 12:44:21:509,0.19
-0.244,8.651,3.637,0.876,9.272,3.071,-1.053,0.166,-0.404,0.015,-0.85,-0.083,65,-17.3,-31.3,19.1,137,-70.8,-15.8,3,1000,52.83,,,,NaN,,,,,0 / 0,4735,2018-08-27 12:44:21:609,0.19
-0.208,10.066,1.86,0.791,9.347,2.859,-1.004,0.659,-0.894,0.117,-1.044,-0.369,62,-15,-31,20.9,140.2,-71.9,-16.1,3,1000,56.14,,,,NaN,,,,,0 / 0,4836,2018-08-27 12:44:21:710,0.19
-1.391,9.96,3.843,0.6,9.293,3.074,-1.955,0.636,0.654,-0.361,-0.692,-0.37,62,-11.9,-32.1,21.2,147,-71.9,-13.5,3,1000,56.14,,,,NaN,,,,,0 / 0,4935,2018-08-27 12:44:21:809,0.19
-0.218,9.235,1.86,0.352,9.283,3.142,-0.52,-0.01,-1.296,0.093,-0.441,-0.331,57,-8.7,-33.2,20.5,157.3,-70.9,-8.7,3,1000,56.14,,,,NaN,,,,,0 / 0,5035,2018-08-27 12:44:21:909,0.19
0.393,9.005,3.594,0.268,9.279,3.162,0.125,-0.274,0.432,-0.073,-0.52,-0.25,57,-7.6,-32.5,21.1,163.3,-71.4,-5,3,1000,56.14,,,,NaN,,,,,0 / 0,5136,2018-08-27 12:44:22:010,0.19
-0.192,9.065,2.828,0.223,9.273,3.184,-0.491,-0.1,-0.217,0.057,-0.562,-0.183,57,-5,-33.1,19.2,167.3,-71.1,-4.1,3,1000,56.14,,,,NaN,,,,,0 / 0,5235,2018-08-27 12:44:22:109,0.19
-0.232,10.032,3.23,0.141,9.333,3.009,-0.399,0.697,0.164,0.077,-0.439,-0.118,57,-3.4,-32.5,20.2,172.2,-71.9,-2.9,3,1000,56.14,,,,NaN,,,,,0 / 0,5335,2018-08-27 12:44:22:209,0.19
0.263,9.711,3.086,0.23,9.38,2.853,-0.094,0.501,-0.068,0.127,-0.645,0.033,49,-2.4,-32.4,22,173.4,-72.9,-3.9,3,1000,56.14,,,,NaN,,,,,0 / 0,5436,2018-08-27 12:44:22:310,0.19
-0.393,9.651,4.903,0.333,9.417,2.718,-0.596,0.043,2.267,0.124,-0.318,0.061,49,-0.4,-32.3,21.7,173.4,-73.8,-6.4,3,1000,56.21,,,,NaN,,,,,0 / 0,5535,2018-08-27 12:44:22:409,0.19
0.728,8.612,3.304,0.354,9.421,2.699,0.225,-0.876,0.557,0.2,-0.521,-0.261,45,1,-32.6,21.7,174.5,-73.9,-7.7,3,1000,56.21,,,,NaN,,,,,0 / 0,5635,2018-08-27 12:44:22:509,0.19
-0.848,9.706,3.115,0.126,9.479,2.51,-0.948,0.239,0.597,0.039,0.057,-0.026,43,1.9,-31.1,23.6,180.9,-75,-3.8,3,1000,56.21,,,,NaN,,,,,0 / 0,5737,2018-08-27 12:44:22:611,0.19
-0.45,8.77,2.361,0.112,9.466,2.558,-0.531,-0.612,-0.135,0.021,-0.021,0.002,43,3.2,-31.9,22.4,183.8,-74.9,-2.7,3,1000,57.88,,,,NaN,,,,,0 / 0,5835,2018-08-27 12:44:22:709,0.19
-0.239,9.448,2.107,-0.13,9.468,2.552,-0.11,-0.02,-0.445,0.034,0.637,0.023,43,2.4,-32.1,21.7,185.9,-74.8,0.3,3,1000,57.88,,,,NaN,,,,,0 / 0,5935,2018-08-27 12:44:22:809,0.19
0.366,10.025,3.79,-0.161,9.463,2.569,0.85,-0.128,-0.395,-0.518,0.93,0.26,43,0.5,-31.8,24.6,184.6,-75.1,3.6,3,1000,57.88,,,,NaN,,,,,0 / 0,6036,2018-08-27 12:44:22:910,0.19
-0.618,10.154,1.312,-0.192,9.458,2.584,0.117,0.61,-1.198,0.297,1.693,0.091,46,-2.6,-32,24.6,177,-74.3,2.9,3,1000,59.15,,,,NaN,,,,,0 / 0,6135,2018-08-27 12:44:23:009,0.19
0.455,9.242,0.261,-0.296,9.512,2.369,0.646,-0.332,-2.235,-0.299,1.686,0.209,46,-7.4,-30.7,24.9,174.6,-75.7,7.1,3,1000,59.15,,,,NaN,,,,,0 / 0,6235,2018-08-27 12:44:23:109,0.19
-0.67,9.151,2.069,-0.492,9.501,2.38,-0.178,-0.35,-0.312,-0.265,1.772,0.44,42,-12.2,-31.1,22.3,167.1,-75.8,11.3,3,1000,59.15,,,,NaN,,,,,0 / 0,6335,2018-08-27 12:44:23:209,0.19
-1.312,9.838,3.733,-0.533,9.469,2.495,-0.779,0.369,1.237,-0.238,1.754,0.584,42,-18.7,-31.1,19.4,157.7,-75.2,12.1,3,1000,55.92,,,,NaN,,,,,0 / 0,6435,2018-08-27 12:44:23:309,0.19
-1.137,9.769,3.522,-0.525,9.417,2.684,-0.591,0.277,0.847,-0.034,1.383,0.344,35,-21.8,-30.5,16.1,148.2,-74.3,10.7,3,1000,55.92,,,,NaN,,,,,0 / 0,6535,2018-08-27 12:44:23:409,0.19
-0.79,9.57,2.445,-0.486,9.446,2.591,-0.304,0.124,-0.146,-0.005,1.059,0.429,32,-25.2,-29.9,12.4,138.8,-74.2,11.2,3,1000,55.92,,,,NaN,,,,,0 / 0,6635,2018-08-27 12:44:23:509,0.19
-0.994,9.113,2.646,-0.363,9.466,2.538,-0.789,-0.205,0.388,0.015,0.888,0.481,32,-26.3,-28,10.1,131.2,-74.8,8.9,3,1000,47.91,,,,NaN,,,,,0 / 0,6735,2018-08-27 12:44:23:609,0.19
-1.616,9.544,2.586,-0.398,9.478,2.487,-1.263,0.106,0.049,0.046,1.098,0.265,33,-29,-27,7.1,122.5,-75,8.1,3,1000,47.91,,,,NaN,,,,,0 / 0,6836,2018-08-27 12:44:23:710,0.19
-1.839,9.414,2.411,-0.582,9.487,2.414,-1.257,-0.073,-0.003,0.085,1.338,0.312,33,-30.2,-26.3,4.1,120,-75.2,12,3,1000,47.91,,,,NaN,,,,,0 / 0,6935,2018-08-27 12:44:23:809,0.19
-1.255,10.221,0.979,-0.833,9.515,2.222,-0.422,0.706,-1.242,-0.129,1.56,0.236,36,-30,-25.5,-0.9,116.9,-75.9,18.4,3,1000,47.91,,,,NaN,,,,,0 / 0,7035,2018-08-27 12:44:23:909,0.19
-0.407,8.667,3.17,-0.897,9.49,2.303,0.49,-0.823,0.867,0.02,1.659,0.241,36,-31.1,-25.1,-4.9,111.9,-75.4,20.6,3,1000,47.91,,,,NaN,,,,,0 / 0,7135,2018-08-27 12:44:24:009,0.19
1.125,9.175,2.722,-0.677,9.517,2.266,1.783,-0.433,0.696,-0.515,1.503,0.634,42,-30.8,-23.6,-10.7,103.7,-76,22,3,1000,47.91,,,,NaN,,,,,0 / 0,7236,2018-08-27 12:44:24:110,0.19
0.601,9.702,4.592,-0.309,9.421,2.705,0.91,0.281,1.887,-0.143,1.003,0.684,42,-30.2,-21.3,-15.9,84.2,-74.7,10.7,3,1000,47.91,,,,NaN,,,,,0 / 0,7335,2018-08-27 12:44:24:209,0.19
0.165,9.426,2.82,-0.026,9.386,2.842,0.263,-0.003,0.045,0.245,0.994,0.137,76,-30.1,-19.5,-18.1,69.3,-73,0.5,3,1000,44.1,,,,NaN,,,,,0 / 0,7435,2018-08-27 12:44:24:309,0.19
0.177,9.292,3.352,0.031,9.375,2.876,0.159,-0.169,0.471,-0.102,0.983,0.317,93,-28.9,-18.4,-21.4,63.6,-73.4,0.5,3,1000,44.1,,,,NaN,,,,,0 / 0,7536,2018-08-27 12:44:24:410,0.19
1.092,9.189,2.947,0.083,9.376,2.872,1.112,-0.319,-0.051,-0.005,0.976,0.407,93,-26.8,-17.3,-25.2,53.1,-73,-0.8,3,1000,44.1,,,,NaN,,,,,0 / 0,7635,2018-08-27 12:44:24:509,0.19
0.864,9.213,2.459,0.068,9.395,2.81,0.782,-0.225,-0.298,0.024,1.028,0.175,74,-24.9,-16.9,-27,48.5,-73.2,-1.4,3,1000,65.28,,,,NaN,,,,,0 / 0,7735,2018-08-27 12:44:24:609,0.19
-0.101,9.747,2.248,-0.063,9.415,2.743,-0.038,0.332,-0.495,-0.125,1.217,0.138,74,-22.1,-16.9,-29.6,44,-73.7,0.4,3,1000,65.28,,,,NaN,,,,,0 / 0,7835,2018-08-27 12:44:24:709,0.19
-0.165,8.876,2.974,-0.13,9.365,2.908,-0.164,-0.453,0.152,-0.193,1.073,0.187,45,-18.1,-16.1,-32,38.7,-73.2,2,3,1000,65.28,,,,NaN,,,,,0 / 0,7936,2018-08-27 12:44:24:810,0.19
-0.168,9.455,1.927,-0.157,9.317,3.056,0.006,0.145,-1.191,-0.319,0.647,0.339,45,-14.7,-15.4,-34.6,31.8,-72.4,3.7,3,1000,65.28,,,,NaN,,,,,0 / 0,8035,2018-08-27 12:44:24:909,0.19
-0.862,9.232,4.348,-0.173,9.2,3.392,-0.689,0.033,0.956,-0.259,0.551,0.236,42,-13,-13.6,-34.9,28.4,-69.7,2.9,3,1000,53.58,,,,NaN,,,,,0 / 0,8136,2018-08-27 12:44:25:010,0.19
-0.505,9.527,2.806,-0.182,9.179,3.446,-0.324,0.347,-0.64,-0.114,0.407,0.36,42,-11.5,-12.1,-36.8,25.6,-69.5,3.5,3,1000,53.58,,,,NaN,,,,,0 / 0,8235,2018-08-27 12:44:25:109,0.19
-0.019,9.304,3.412,-0.057,9.162,3.495,0.041,0.171,-0.318,-0.097,0.321,0.204,38,-10.2,-12.4,-37.3,19.7,-69.2,1.2,3,1000,53.58,,,,NaN,,,,,0 / 0,8335,2018-08-27 12:44:25:209,0.19
-0.749,9.726,3.199,-0.049,9.177,3.457,-0.7,0.549,-0.259,0.103,0.147,0.052,33,-10.9,-11.8,-38.5,19.5,-69.1,0.5,3,1000,55.07,,,,NaN,,,,,0 / 0,8435,2018-08-27 12:44:25:309,0.19
-0.206,10.214,2.397,-0.027,9.246,3.268,-0.239,0.846,-1.025,-0.074,0.011,0.198,33,-9.5,-12,-38.3,16.1,-69.8,0.7,3,1000,55.07,,,,NaN,,,,,0 / 0,8535,2018-08-27 12:44:25:409,0.19
0.074,8.909,4.427,-0.011,9.268,3.206,0.014,-0.402,1.365,0.565,0.165,-0.006,30,-9.9,-11.9,-38.2,17.3,-70.6,-0.1,3,1000,55.07,,,,NaN,,,,,0 / 0,8635,2018-08-27 12:44:25:509,0.19
-0.022,10.657,3.038,-0.124,9.366,2.904,0.141,1.315,0.11,0.198,0.216,-0.034,30,-10.4,-13.5,-37.6,20.3,-72.2,1.2,3,1000,56.74,,,,NaN,,,,,0 / 0,8736,2018-08-27 12:44:25:610,0.19
-0.225,9.184,3.139,-0.019,9.397,2.803,-0.206,-0.213,0.336,0.2,0.193,0.141,24,-9.2,-14.7,-39.1,18,-73.2,1,3,1000,56.74,,,,NaN,,,,,0 / 0,8835,2018-08-27 12:44:25:709,0.19
0.4,8.615,2.373,0.12,9.459,2.585,0.28,-0.844,-0.212,0.355,0.404,0.195,24,-8.8,-15.1,-38.1,13.1,-74.4,-2,3,1000,56.74,,,,NaN,,,,,0 / 0,8935,2018-08-27 12:44:25:809,0.19
-0.553,9.572,2.368,0.151,9.546,2.241,-0.704,0.026,0.127,-0.056,0.733,0.445,23,-7.2,-17.2,-38.8,8.5,-76.7,-2.7,3,1000,51.45,,,,NaN,,,,,0 / 0,9036,2018-08-27 12:44:25:910,0.19
-0.002,9.989,2.397,0.193,9.574,2.113,-0.183,0.398,0.236,0.417,1.627,0.201,23,-5.1,-17.9,-37.7,1.9,-77.1,-5.8,3,1000,51.45,,,,NaN,,,,,0 / 0,9135,2018-08-27 12:44:26:009,0.19
0.936,9.766,1.999,0.139,9.646,1.76,0.878,0.156,0.141,0.337,1.495,0.131,21,0.1,-19,-38,357,-78.9,-4.2,3,1000,51.45,,,,NaN,,,,,0 / 0,9236,2018-08-27 12:44:26:110,0.19
0.929,9.163,1.125,-0.044,9.714,1.343,0.973,-0.551,-0.217,0.598,2.102,-0.115,19,5.6,-20.7,-36.7,349.3,-81.5,-0.4,3,1000,52.7,,,,NaN,,,,,0 / 0,9335,2018-08-27 12:44:26:209,0.19
-0.747,9.407,1.097,-0.487,9.73,1.125,-0.301,-0.361,-0.05,-0.098,1.97,-0.172,19,14,-21.7,-33.8,357.3,-83.1,18.4,3,1000,52.7,,,,NaN,,,,,0 / 0,9435,2018-08-27 12:44:26:309,0.19
-0.982,9.484,0.644,-0.735,9.721,1.061,-0.32,-0.182,-0.288,-0.254,1.857,0.03,19,21,-21.7,-31.3,358.8,-82.6,33,3,1000,52.7,,,,NaN,,,,,0 / 0,9536,2018-08-27 12:44:26:410,0.19
-2.121,10.123,1.973,-0.928,9.67,1.345,-1.258,0.408,0.628,-0.626,1.647,0.242,19,27.1,-21.4,-27.5,352.2,-81.4,35.8,3,1000,52.7,,,,NaN,,,,,0 / 0,9635,2018-08-27 12:44:26:509,0.19
-1.446,9.733,1.918,-1.037,9.599,1.721,-0.565,0.017,0.59,-0.218,1.316,0.079,26,31.7,-19.9,-23.2,333.5,-78.5,30.8,3,1000,59.87,,,,NaN,,,,,0 / 0,9735,2018-08-27 12:44:26:609,0.19
-1.523,10.221,1.626,-1.138,9.598,1.657,-0.378,0.57,0.041,-0.074,1.338,0.379,26,34.9,-20.9,-18.5,331.2,-77.9,33.5,3,1000,59.87,,,,NaN,,,,,0 / 0,9835,2018-08-27 12:44:26:709,0.19
-0.979,9.565,1.64,-0.925,9.622,1.652,0.01,-0.071,-0.081,-0.151,1.11,0.397,35,35.9,-21,-14,317,-78.8,30.5,3,1000,59.87,,,,NaN,,,,,0 / 0,9935,2018-08-27 12:44:26:809,0.19
-1.226,9.297,1.726,-0.702,9.646,1.621,-0.488,-0.289,0.1,-0.044,1.048,0.368,35,34.6,-23.4,-10.2,309.2,-79.3,26,3,1000,49.02,,,,NaN,,,,,0 / 0,10036,2018-08-27 12:44:26:910,0.19
-1.652,9.747,0.824,-0.72,9.667,1.482,-0.904,-0.026,-0.572,-0.078,1.202,0.25,38,33.8,-23.6,-2.1,293.7,-80.2,25,3,1000,49.02,,,,NaN,,,,,0 / 0,10135,2018-08-27 12:44:27:009,0.19
-1.075,9.596,1.408,-0.828,9.664,1.445,-0.235,-0.078,-0.073,-0.065,1.255,0.028,37,33.5,-24.1,-0.5,291.9,-80.3,28.6,3,1000,49.02,,,,NaN,,,,,0 / 0,10235,2018-08-27 12:44:27:109,0.19
-0.302,9.998,1.82,-0.958,9.66,1.394,0.623,0.308,0.428,0.025,1.121,0.069,37,31.9,-23.7,3.5,291,-80.1,33.7,3,1000,53.2,,,,NaN,,,,,0 / 0,10335,2018-08-27 12:44:27:209,0.19
0.833,10.705,0.946,-0.896,9.704,1.093,1.868,1.058,-0.487,0.262,1.056,0.313,36,29,-25.1,7.4,288.5,-81.2,39.3,3,1000,53.2,,,,NaN,,,,,0 / 0,10435,2018-08-27 12:44:27:309,0.19
