ACCELEROMETER X (m/sÂ²),ACCELEROMETER Y (m/sÂ²),ACCELEROMETER Z (m/sÂ²),GRAVITY X (m/sÂ²),GRAVITY Y (m/sÂ²),GRAVITY Z (m/sÂ²),LINEAR ACCELERATION X (m/sÂ²),LINEAR ACCELERATION Y (m/sÂ²),LINEAR ACCELERATION Z (m/sÂ²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (Î¼T),MAGNETIC FIELD Y (Î¼T),MAGNETIC FIELD Z (Î¼T),ORIENTATION Z (azimuth Â°),ORIENTATION X (pitch Â°),ORIENTATION Y (roll Â°),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (Â°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,OUT
1.269,9.3592,2.0495,1.4048,8.9432,3.7705,-0.1358,0.4161,-1.721,0.2426,-0.0407,-0.2278,5133,13.98,-37.5,19.74,189.48,-65.78,-20.43,3.1,993.74,50.227,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 19,24,2018-06-11 15:39:16:900,0
0.7614,8.55,3.5866,1.1403,9.3284,2.8019,-0.379,-0.7785,0.7848,0.7032,-0.3009,-0.0696,4622,15.12,-35.1,21.78,188.95,-72.03,-22.15,3.1,993.77,51.591,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 19,524,2018-06-11 15:39:17:400,0
2.5547,8.9283,0.9505,1.4322,9.3824,2.4675,0.5311,-0.0807,-0.236,0.267,0.1756,0.1185,4550,14.28,-35.4,22.2,181.74,-73.09,-30.13,3.1,993.73,53.992,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 19,1024,2018-06-11 15:39:17:900,0
0.1939,7.2427,1.3504,0.5724,9.3426,2.9254,0.0478,-3.1726,-1.8384,-0.3115,-0.0816,-0.2388,4324,7.74,-35.52,24.66,184.87,-72.3,-11.07,3.1,993.78,59.132,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,1525,2018-06-11 15:39:18:401,0
-1.1014,5.9258,0.4334,0.3779,9.5649,2.1309,-0.4713,-3.9359,-1.087,1.1094,0.8622,-0.5999,5243,14.4,-32.22,24.42,196.45,-77.25,-10.06,3.1,993.79,62.767,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,2024,2018-06-11 15:39:18:900,0
-1.5204,6.0647,3.5268,0.5461,9.2037,3.3411,-1.8653,-1.1925,-1.4928,-0.0494,1.1768,0.179,7361,12.84,-36.12,20.22,196.26,-69.8,-9.28,3.1,993.77,65.308,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,2525,2018-06-11 15:39:19:401,0
0.6369,6.0288,4.767,1.0134,8.7126,4.3856,0.4208,0.4527,-2.6425,-0.6028,-0.2801,-0.1368,7660,11.1,-39.06,15.24,192.51,-62.68,-13.01,3.1,993.76,64.309,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,3024,2018-06-11 15:39:19:900,0
-0.1077,5.9594,3.9529,1.5204,8.1257,5.2756,-1.2833,-1.6181,-1.6123,0.0709,0.6765,-0.0458,8560,11.64,-41.04,9.42,195.37,-55.95,-16.08,3.1,993.78,57.563,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,3525,2018-06-11 15:39:20:401,0
0.3304,5.2099,3.7638,1.6248,8.2365,5.0685,-0.6407,-1.8773,-2.3103,0.0056,0.4364,-0.3262,8704,14.58,-40.8,9.24,199.11,-57.13,-17.77,3.1,993.77,53.682,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,4025,2018-06-11 15:39:20:901,0
-0.091,7.8101,5.3488,1.5079,8.2004,5.1624,-1.5989,-0.3902,0.1864,-0.32,0.5183,0.4893,9048,10.86,-41.7,12.18,191.54,-56.74,-16.28,3.1,993.77,56.111,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 20,4524,2018-06-11 15:39:21:400,0
0.3687,7.9969,1.6832,1.2936,9.1289,3.3406,0.7798,0.6636,-4.3964,0.3354,-0.7737,-0.4484,7798,11.34,-36.66,22.32,183.65,-68.57,-21.17,3.1,993.75,63.27,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 20,5024,2018-06-11 15:39:21:900,0
0.6967,8.8445,4.2187,0.8154,9.206,3.2794,-1.3039,1.9681,4.897,0.2982,0.3106,0.5437,7125,9.3,-36.54,23.94,184.59,-69.84,-13.96,3.1,993.74,56.786,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 20,5524,2018-06-11 15:39:22:400,0
0.929,10.4151,1.4222,0.8738,9.7247,0.9151,0.3305,0.9035,-1.8943,1.0721,-1.1976,0.0324,4364,9.12,-31.56,30.66,170.53,-78.91,-27.29,3.1,993.75,58.106,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 20,6024,2018-06-11 15:39:22:900,0
1.1181,14.7056,4.6425,0.7292,9.7349,0.9332,-1.8139,4.3531,6.0509,0.6794,2.0687,-0.595,3674,4.44,-28.44,33.36,137.61,-82.5,-53.32,3.1,993.73,60.529,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 21,6525,2018-06-11 15:39:23:401,0
0.6776,13.7503,3.1772,0.7412,9.7258,1.0143,-0.0636,4.0245,2.1629,-0.6297,0.4767,0.1747,3395,-15.96,-27.54,30.66,121.4,-82.64,-36.16,3.1,993.74,63.617,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 21,7025,2018-06-11 15:39:23:901,0
-0.7734,12.6921,2.6696,0.4446,9.7457,0.9968,-1.218,2.9463,1.6728,0.3788,0.8512,0.0434,3898,-24.78,-26.22,25.62,116.1,-83.61,-24.04,3.1,993.77,58.551,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 22,7524,2018-06-11 15:39:24:400,0
1.6497,11.9283,1.1229,0.4322,9.6893,1.4493,0.2717,2.646,1.3233,0.0789,-0.0425,0.1393,4508,-34.92,-24,12.48,97.98,-81.13,-16.61,3.1,993.77,56.107,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 22,8024,2018-06-11 15:39:24:900,0
-0.1939,12.1462,2.6457,-0.0571,9.6868,1.5274,0.4115,2.4929,0.673,0.22,0.4383,-0.2804,5467,-35.88,-24.66,6,107.32,-81.03,2.14,3.1,993.77,53.684,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 21,8525,2018-06-11 15:39:25:401,0
1.4054,11.2555,2.1405,0.5918,9.6128,1.8479,0.8974,2.7226,0.6517,0.0318,-0.0614,-0.099,8114,-39.48,-19.98,0.84,80.83,-77.23,-17.45,3.1,993.79,55.712,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 21,9024,2018-06-11 15:39:25:900,0
0.5148,8.5332,1.4773,-0.0925,9.5996,2.0023,0.6072,-1.0664,-0.525,0.1198,-0.0175,0.0721,9118,-37.8,-22.62,-1.32,98.63,-78.16,3.12,3.1,993.78,61.695,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 19,9525,2018-06-11 15:39:26:401,0
0.9338,7.5084,0.0192,0.2095,9.5161,2.36,0.7243,-2.0077,-2.3408,0.3422,-0.1262,-0.0922,9205,-38.4,-21.06,-1.98,89.82,-76.02,-5.07,3.1,993.78,62.408,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 19,10024,2018-06-11 15:39:26:900,0
0.1868,6.3903,0.8619,-0.2482,9.5959,2.0069,0.435,-3.2056,-1.145,0.0807,-0.0908,0.2999,6083,-35.64,-23.88,3.42,109.02,-78.1,7.05,3.1,993.82,61.962,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,10524,2018-06-11 15:39:27:400,0
-0.2897,6.2251,0.8093,-0.1333,9.6474,1.7548,-0.9226,-3.4367,0.2348,0.0147,0.6863,-0.0611,6398,-35.4,-23.94,5.1,108.9,-79.66,4.34,3.1,993.83,59.245,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,11024,2018-06-11 15:39:27:900,0
0.012,6.8764,2.2195,0.0592,9.6298,1.8529,1.1428,-1.0416,-1.4458,-0.5253,-0.6821,-0.1888,7249,-31.38,-24.96,14.28,119.1,-79.1,-1.83,3.1,993.82,65.309,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,11524,2018-06-11 15:39:28:400,0
0.0766,9.3425,3.1245,0.0761,9.571,2.1355,-0.1384,-0.3913,0.3019,0.1632,0.4205,-0.0684,31228,-31.14,-26.94,14.58,122.13,-77.49,-1.48,3.1,993.82,68.595,23.027018,72.53848,50.22,NaN,,0,38.709675,,20 / 20,12025,2018-06-11 15:39:28:901,0
0.079,8.6314,3.996,-0.4646,9.5915,1.9895,-0.4548,1.3121,3.0098,0.0948,-0.4805,0.0073,33322,-28.92,-28.62,14.88,137.16,-77.98,13.15,3.1,993.83,57.815,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 21,12525,2018-06-11 15:39:29:401,0
0.34,11.6697,4.2953,-0.387,9.5681,2.1148,1.2322,2.432,1.2204,-0.9022,-0.428,0.2138,18061,-24.6,-31.08,20.46,145.36,-77.34,10.37,3.1,993.83,64.186,23.027018,72.53848,50.22,NaN,,0,38.709675,,19 / 21,13024,2018-06-11 15:39:29:900,0
-0.7039,12.4119,1.9561,-0.4627,9.5926,1.9843,0.3717,3.2503,-1.2444,0.3904,-0.9337,-0.3091,27848.998,-23.88,-29.28,20.64,149.32,-78.01,13.13,3.1,993.83,62.595,23.027018,72.53848,50.22,NaN,,0,38.709675,,21 / 21,13524,2018-06-11 15:39:30:400,0
-0.3663,12.8525,3.8931,-0.2683,9.5699,2.1249,1.0584,2.2554,0.1185,0.1192,0.189,-0.3745,6860,-17.7,-31.08,25.26,156.06,-77.38,7.2,3.1,993.83,60.707,23.027018,72.53848,50.22,NaN,,0,38.709675,,21 / 21,14024,2018-06-11 15:39:30:900,0
-0.8069,10.949,4.846,-0.3694,9.4645,2.5409,-1.2491,1.5012,1.1176,-0.4819,-0.1763,0.2297,5361,-14.46,-32.7,24.6,163.42,-74.82,8.27,3.1,993.8,72.227,23.027018,72.53848,50.22,NaN,,0,38.709675,,22 / 22,14525,2018-06-11 15:39:31:401,0
0.1293,7.609,1.5778,0.0594,9.3999,2.7944,-0.2126,-2.4134,-0.2086,-0.284,-0.0535,0.2437,4479,-12.6,-33.42,25.44,157.77,-73.44,-1.22,3.1,993.81,64.424,23.027018,72.53848,50.22,NaN,,0,38.709675,,22 / 22,15024,2018-06-11 15:39:31:900,0
0.7063,6.8548,0.4477,-0.1087,9.449,2.6219,0.815,-2.5942,-2.1741,0.2139,0.2361,0.226,5346,-19.14,-32.58,22.02,153.47,-74.4,7.24,3.1,993.84,67.192,23.027018,72.53848,50.22,NaN,,0,38.709675,,21 / 21,15524,2018-06-11 15:39:32:400,0
-0.9122,7.1397,1.8029,-0.5255,9.6272,1.7917,-0.6501,-2.6192,0.4732,-0.2693,0.0198,-0.1313,3502,-15.24,-32.04,26.1,168.48,-79.02,16.35,3.1,993.83,55.094,23.027018,72.53848,50.22,NaN,,0,38.709675,,21 / 21,16024,2018-06-11 15:39:32:900,0
-1.0894,6.5076,3.601,-0.0407,9.6641,1.6652,-0.6393,-2.4717,0.267,-0.3628,0.6771,0.0794,3670,-15.36,-29.88,27,155.91,-80.22,1.4,3.1,993.84,71.569,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,20 / 20,16525,2018-06-11 15:39:33:401,0
0.9386,7.8317,1.5467,-0.0172,9.6848,1.5408,1.8058,-1.1277,-1.4929,-0.2864,-0.7853,0.1283,3432,-15.12,-30.42,28.32,155.7,-80.96,0.64,3.1,993.84,60.48,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,20 / 20,17024,2018-06-11 15:39:33:900,0
-0.6249,10.518,3.9458,-0.3962,9.6619,1.6313,-1.7227,1.1578,1.2346,0.0874,-0.3437,-0.0226,3201,-12.24,-31.98,28.32,176.26,-81,18.89,3.1,993.79,59.365,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,21 / 21,17525,2018-06-11 15:39:34:401,0
-2.4206,11.1813,7.1206,-0.1113,9.7407,1.1302,0.0921,3.3896,-2.1215,-0.6267,-0.0914,-0.3115,3481,-10.86,-30.18,29.76,166.82,-83.35,5.62,3.1,993.73,54.874,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,21 / 21,18024,2018-06-11 15:39:34:900,0
0.1796,11.9235,2.854,-0.2647,9.7459,1.0569,1.0069,2.326,0.0205,-0.2992,-0.6961,0.2309,3723,-7.38,-30.18,30.6,181.22,-83.62,14.06,3.1,993.73,63.213,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,21 / 21,18524,2018-06-11 15:39:35:400,0
-0.1413,12.8405,3.0359,-0.0805,9.7788,0.7334,-0.0608,3.0617,2.3025,0.1027,-0.4921,-0.1313,4029,-4.32,-29.22,33.96,179.58,-85.69,6.26,3.1,993.74,70.181,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,21 / 21,19025,2018-06-11 15:39:35:901,0
0.5674,10.7216,0.4429,-0.1339,9.7678,0.8619,0.7133,0.2092,-1.3168,0.0068,0.2984,0.1197,3715,6.36,-29.1,33.6,197.61,-84.9,8.83,3.1,993.73,67.728,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,21 / 21,19524,2018-06-11 15:39:36:400,0
-0.3735,9.2347,1.5922,-0.302,9.557,2.178,-0.6629,-0.2935,-0.6504,-0.1758,-0.2111,0.022,4790,5.04,-33.18,29.16,194.43,-77.04,7.89,3.1,993.74,65.806,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,21 / 21,20024,2018-06-11 15:39:36:900,0
0.8739,7.6641,3.34,-0.2209,9.0393,3.7965,1.0948,-1.3752,-0.4565,0.121,-0.2453,0.1087,5105,13.14,-35.88,22.62,204.46,-68.31,5.62,3.1,993.77,69.878,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,21 / 22,20525,2018-06-11 15:39:37:401,0
-0.6034,8.0184,2.8109,-0.2119,9.288,3.1399,-0.3915,-1.2695,-0.329,0.0716,-0.1915,-0.003,5224,13.98,-33.3,24.18,205.7,-71.28,3.86,3.1,993.75,66.081,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,21 / 22,21025,2018-06-11 15:39:37:901,0
0.8069,8.6553,1.1109,0.1569,9.6233,1.8807,0.65,-0.968,-0.7698,0.1076,-0.7688,-0.0544,4435,17.88,-30.36,26.82,205.01,-78.9,-4.77,3.1,993.71,69.764,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,21 / 21,21525,2018-06-11 15:39:38:401,0
1.4246,11.301,1.1493,0.305,9.5677,2.1298,1.1196,1.7333,-0.9806,-0.3591,-0.0175,-0.0281,4697,19.92,-31.92,24.42,206.44,-77.33,-8.15,3.1,993.71,56.925,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,21 / 21,22025,2018-06-11 15:39:38:901,0
1.3336,11.799,0.1556,0.215,9.6145,1.9196,0.5991,2.1701,-0.7201,0.3806,-0.2154,0.1203,4627,16.74,-31.62,26.22,202.69,-78.64,-6.39,3.1,993.74,59.437,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,20 / 20,22524,2018-06-11 15:39:39:400,0
0.8476,10.5779,1.5347,0.3897,9.5302,2.279,0.8625,0.3749,-0.7012,0.132,0.0351,-0.0568,5317,18.42,-32.4,24.06,202.25,-76.36,-9.7,3.1,993.76,69.409,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,20 / 20,23024,2018-06-11 15:39:39:900,0
0.2394,9.6465,2.2913,0.0883,9.3673,2.9011,0.1512,0.2792,-0.6097,-0.4178,-0.4518,-0.1258,5434,23.28,-30.84,20.52,217.75,-73.67,-0.97,3.1,993.79,62.66,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,20 / 21,23524,2018-06-11 15:39:40:400,0
-0.6105,6.9985,1.9298,0.2676,9.4698,2.5339,-0.8015,-1.9494,-0.47,0.1974,-0.0431,0.0568,4207,30.24,-29.82,14.16,229.5,-74.69,-5.81,3.1,993.75,70.191,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,20 / 21,24024,2018-06-11 15:39:40:900,0
0.5052,6.6345,1.3839,0.4735,9.3706,2.8528,0.5034,-3.3729,-1.8879,0.1058,0.6069,0.1955,4766,23.64,-32.88,19.14,213.23,-72.85,-9.42,3.1,993.72,67.623,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,20 / 20,24524,2018-06-11 15:39:41:400,0
-0.996,8.131,2.2698,0.3476,9.5311,2.2821,-1.4873,-0.6004,2.0371,-0.0366,-0.1158,-0.0501,3380,22.56,-32.76,24.84,208.36,-76.38,-8.66,3.1,993.78,60.012,23.026945,72.53851,33.83,NaN,,3.15,6.451613,170.48,20 / 20,25024,2018-06-11 15:39:41:900,0
0,9.0049,-1.19,0.2585,9.6116,1.9288,-0.8571,0.2887,-1.5457,1.0679,0.4218,0.3195,3143,16.92,-31.26,27.72,200.26,-78.55,-7.63,3.1,993.72,62.429,23.026857,72.53849,31.85,NaN,,3.11,9.677419,245.81,22 / 22,25525,2018-06-11 15:39:42:401,0
0.2993,9.6298,1.7023,0.1348,9.586,2.0642,-1.4637,0.3766,2.9494,0.1192,-0.2765,-0.0617,3327,10.56,-32.1,29.76,193.81,-77.82,-3.74,3.1,993.71,58.499,23.026857,72.53849,31.85,NaN,,3.11,9.677419,245.81,22 / 22,26024,2018-06-11 15:39:42:900,0
-0.4741,10.0392,3.8979,0.2748,9.3496,2.9461,-0.7489,0.6896,0.9518,0.4766,0.153,0.1845,3558,0.9,-35.04,27.24,177.61,-72.44,-5.33,3.1,993.71,59.22,23.026857,72.53849,31.85,NaN,,3.11,9.677419,245.81,21 / 21,26524,2018-06-11 15:39:43:400,0
-0.565,10.894,8.7367,0.4852,9.3799,2.82,0.4821,2.0815,2.2128,-0.0427,0.4034,-0.4136,3673,-8.22,-33.72,27.9,160.16,-73.04,-9.76,3.1,993.7,58.39,23.026857,72.53849,31.85,NaN,,3.11,9.677419,245.81,21 / 21,27024,2018-06-11 15:39:43:900,0
1.269,11.7176,-0.3735,0.0967,9.5521,2.2178,0.3319,2.041,-0.458,0.2921,0.8591,0.3006,2978,-15.72,-31.02,28.62,153.48,-76.92,-2.5,3.1,993.7,63.36,23.026857,72.53849,31.85,NaN,,3.11,9.677419,245.81,21 / 21,27524,2018-06-11 15:39:44:400,0
0.3304,8.5931,4.7383,-0.0931,8.7335,4.4595,-0.0865,0.2139,1.1647,0.4069,0.4254,0.3232,3357,-31.5,-29.82,10.92,127.98,-62.95,1.2,3.1,993.71,57.049,23.026857,72.53849,31.85,NaN,,3.11,9.677419,245.81,21 / 21,28024,2018-06-11 15:39:44:900,0
0.498,7.5228,1.4078,0.4011,9.3785,2.8378,0.8918,-2.5931,-2.1483,0.2377,0.1927,0.0483,4728,-0.18,-32.64,26.34,173.94,-73.01,-8.05,3.1,993.76,47.412,23.026665,72.538506,28.08,NaN,,4.76,9.677419,190.04,18 / 20,21,2018-06-11 15:40:13:628,0
0.3304,6.6872,0.5842,0.4271,9.5233,2.301,-0.9634,-2.3668,-0.8165,0.2511,-0.1488,0.0354,4962,0.18,-31.38,28.56,171.42,-76.19,-10.52,3.1,993.75,45.935,23.026665,72.538506,28.08,NaN,,4.76,9.677419,190.04,18 / 20,520,2018-06-11 15:40:14:127,0
0.826,5.854,0.2155,0.2271,9.5649,2.152,0.599,-3.7109,-1.9365,-0.2858,-0.1097,0.0837,4965,-1.8,-30.66,29.28,170.08,-78.24,-7.91,3.1,993.75,48.666,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,18 / 19,1020,2018-06-11 15:40:14:627,0
-0.8811,7.1038,1.0942,0.2127,9.4993,2.4265,-1.1009,-1.9119,-1.0642,0.1381,-0.0987,0.0031,5704,1.74,-31.74,28.14,179.26,-75.62,-5.01,3.1,993.74,46.573,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,18 / 19,1520,2018-06-11 15:40:15:127,0
-1.1229,7.7766,3.7542,0.5427,9.5953,1.9507,-1.6178,-1.1771,0.7477,-0.7562,0.2367,0.2077,7019,0.12,-30.48,28.98,166.95,-78.08,-15.55,3.1,993.76,48.231,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,18 / 19,2020,2018-06-11 15:40:15:627,0
1.1756,9.1796,-0.1628,1.0029,9.5536,1.9728,1.5973,-0.4027,-0.4764,0.7435,-0.4145,-0.6335,6134,2.4,-31.08,27.72,161.29,-76.96,-26.95,3.1,993.74,45.58,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,18 / 19,2520,2018-06-11 15:40:16:127,0
1.0846,9.6968,5.4302,0.9178,9.5862,1.8525,0.265,0.9581,2.4787,-0.6297,0.6178,0.6616,5005,-2.16,-30.9,28.86,154.73,-77.83,-26.36,3.1,993.73,47.063,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,18 / 19,3020,2018-06-11 15:40:16:627,0
1.4773,9.5699,4.2738,0.8645,9.4992,2.2777,-0.685,1.1529,6.0065,0.6824,-0.8275,-0.2871,5340,-3.78,-32.76,26.94,154.77,-76.89,-22.97,3.1,993.7,46.948,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,18 / 19,3521,2018-06-11 15:40:17:128,0
1.087,12.1964,3.091,0.9173,9.6869,1.2216,0.481,3.1991,1.0194,-0.5253,0.4242,0.248,4817,-2.58,-29.22,31.62,142.35,-81.04,-36.9,3.1,993.72,49.879,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,18 / 20,4020,2018-06-11 15:40:17:627,0
1.9465,12.8525,2.2506,0.7631,9.5874,1.9156,1.0877,3.1956,1.264,0.1339,-0.417,0.0275,5951,-6,-32.34,28.8,152.18,-77.86,-21.72,3.1,993.73,49.885,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,18 / 20,4520,2018-06-11 15:40:18:127,0
0.577,12.7423,2.0447,0.4862,9.7524,0.9075,0.0909,2.9899,1.1373,0.7007,0.7638,-0.1997,6266,-0.96,-29.7,31.38,152.53,-83.97,-28.18,3.1,993.73,49.562,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,18 / 20,5020,2018-06-11 15:40:18:627,0
0.2777,13.293,1.2857,0.4647,9.6152,1.8715,-0.1271,1.4464,-0.1596,0.6598,0.4651,-0.1582,5576,-0.36,-32.04,31.08,168.21,-78.66,-13.94,3.1,993.71,47.573,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,18 / 20,5520,2018-06-11 15:40:19:127,0
2.0782,10.0368,0.249,0.4911,9.6882,1.4382,0.7252,-1.5069,-1.3066,-0.0757,-0.3003,0.0434,5072,2.76,-30,32.28,168.08,-81.08,-18.85,3.1,993.73,47.791,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,18 / 19,6020,2018-06-11 15:40:19:627,0
0.4453,8.8995,0.5627,0.536,9.5943,1.9577,0.2972,-2.9382,-2.0726,0.1271,0.2055,-0.1588,5305,-0.96,-31.86,30.9,165.59,-78.05,-15.31,3.1,993.73,45.687,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,18 / 19,6520,2018-06-11 15:40:20:127,0
0.7949,6.1102,-0.8356,0.202,9.7083,1.3706,0.5929,-3.5981,-2.2062,0.5517,-0.2606,0.0654,5123,1.68,-30.06,32.46,175.72,-81.88,-8.38,3.1,993.75,46.146,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,19 / 21,7021,2018-06-11 15:40:20:628,0
0.7398,6.601,0.5148,0.3276,9.6112,1.9203,0.3668,-3.5369,-1.9346,-0.1215,-0.1097,0.1735,5141,-3.48,-30.72,31.62,167.16,-78.54,-9.68,3.1,993.74,46,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,19 / 21,7520,2018-06-11 15:40:21:127,0
-0.8572,6.6968,1.0726,0.4439,9.5962,1.9712,-1.3011,-2.8994,-0.8986,0.0948,0.109,-0.2669,4915,-0.18,-30.66,30.48,169.34,-78.11,-12.69,3.1,993.75,45.845,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,19 / 21,8020,2018-06-11 15:40:21:627,0
-1.1325,7.9179,2.3608,0.3576,9.6102,1.9201,-0.3983,-1.3044,-1.6136,-0.0054,0.6435,-0.2077,4796,-0.54,-30.18,30.66,169.42,-78.51,-10.55,3.1,993.73,46.879,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,19 / 21,8521,2018-06-11 15:40:22:128,0
0.7757,9.4598,-0.0479,-0.158,9.6888,1.5076,1.3288,-0.2697,-1.5172,-0.0219,-0.8922,-0.1527,4869,1.98,-28.26,31.38,188.59,-81.11,5.98,3.1,993.75,45.554,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,19 / 21,9020,2018-06-11 15:40:22:627,0
-1.439,10.0775,3.8859,-0.238,9.6613,1.6652,0.4774,1.666,1.9382,-0.4685,0.1493,0.0641,4709,0.12,-29.34,29.88,187.07,-80.12,8.13,3.1,993.75,45.557,23.026548,72.53851,27.56,NaN,,4.42,9.677419,175.28,19 / 21,9520,2018-06-11 15:40:23:127,0
-0.6058,10.9754,3.0886,-0.7954,9.7357,0.8686,0.1896,1.2397,2.22,0.2652,-0.3504,0.2877,4865,0.96,-27.36,32.16,220.68,-83.1,42.48,3.1,993.76,46.595,23.02644,72.53854,27.79,NaN,,3.89,9.677419,173.5,18 / 21,10021,2018-06-11 15:40:23:628,0
-0.5842,13.1015,1.3192,-0.3369,9.7964,0.2953,0.301,3.1327,-1.6624,-0.9235,-0.2123,-0.0159,4767,0.72,-25.8,34.68,228.97,-87.38,48.77,3.1,993.75,47.534,23.02644,72.53854,27.79,NaN,,3.89,9.677419,173.5,18 / 21,10520,2018-06-11 15:40:24:127,0
1.4461,11.9977,-0.4382,0.2221,9.7665,0.8577,0.556,2.4443,-0.0412,-0.1972,-0.7242,0.022,6406,2.58,-27.66,32.7,171.3,-84.82,-14.52,3.1,993.74,48.595,23.02644,72.53854,27.79,NaN,,3.89,9.677419,173.5,18 / 21,11020,2018-06-11 15:40:24:627,0
-0.4214,12.5316,2.2674,0.0975,9.7704,0.8361,0.5106,1.9998,0.1408,0.1033,0.4554,-0.292,6343,2.52,-28.32,32.94,178.64,-85.08,-6.65,3.1,993.75,50.61,23.02644,72.53854,27.79,NaN,,3.89,9.677419,173.5,18 / 21,11520,2018-06-11 15:40:25:127,0
0.6465,12.4574,0.7997,0.5541,9.7049,1.2957,0.7963,-0.2978,0.6676,1.1638,0.3485,-0.6145,6638,-3.48,-28.14,33,154.43,-81.74,-23.15,3.1,993.76,51.701,23.02644,72.53854,27.79,NaN,,3.89,9.677419,173.5,17 / 20,12020,2018-06-11 15:40:25:627,0
1.1971,9.2347,-0.7925,-0.0504,9.7827,0.6824,0.5939,-2.3294,-1.4701,0.0196,-0.1579,0.2077,5961,3.18,-26.52,34.56,188.68,-86,4.22,3.1,993.76,55.619,23.02644,72.53854,27.79,NaN,,3.89,9.677419,173.5,17 / 20,12520,2018-06-11 15:40:26:127,0
